WEO_Country_Code,ISO,Country,WEO_Subject_Code,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-Specific_Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates_Start_After
512,AFG,Afghanistan,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,,,,,,,,,,,,,6.845,9.826,12.676,14.733,18.946,18.986,17.036,19.391,21.722,21.265,25.21,24.346,23.684,24.569,28.156,27.059,30.57,26.941,25.694,17.449,15.118,15.529,,2024
914,ALB,Albania,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,,,,,,,,18.398,26.826,28.266,26.066,25.848,25.323,24.674,24.992,25.434,25.928,26.13,26.842,26.093,25.867,25.407,24.789,23.977,26.272,26.44,27.642,27.756,27.457,27.209,25.853,27.527,26.787,27.822,28.625,2022
612,DZA,Algeria,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,26.625,29.113,27.162,24.791,26.895,27.613,29.584,30.712,25.213,27.595,35.265,32.241,32.709,34.243,33.445,39.275,40.707,37.736,45.092,33.585,33.742,36.662,35.995,32.678,29.802,27.039,25.332,28.702,30.096,28.591,26.987,26.225,29.737,32.888,29.2,2023
171,AND,Andorra,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,,,,,,,,,,,,27.362,25.977,25.98,25.545,23.305,23.753,24.774,26.269,26.406,28.501,29.514,32.282,35.323,33.805,34.982,38.636,38.19,38.601,38.15,41.271,37.877,39.733,38.616,38.406,2023
614,AGO,Angola,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,,,,,,,34.528,30.8,24.396,36.315,37.842,33.079,25.324,26.02,27.032,30.095,35.746,37.925,43.405,31.933,37.528,40.498,36.871,32.671,27.235,21.299,15.44,15.285,20.295,18.907,18.335,20.679,20.095,17.367,18.014,2022
311,ATG,Antigua and Barbuda,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,18.252,16.851,17.877,16.982,16.821,17.096,17.96,16.757,19.04,17.227,16.598,15.612,17.503,16.93,18.031,17.249,19.405,18.841,18.494,16.278,19.719,17.996,17.558,16.871,18.254,22.41,23.639,19.881,19.109,18.48,19.762,18.875,17.851,16.735,17.36,2023
213,ARG,Argentina,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,,,,21.993,21.688,20.788,19.876,20.748,21.303,21.766,21.83,21.068,19.943,23.526,26.996,27.766,28.267,30.308,31.114,32.694,31.965,32.156,33.803,34.349,34.601,35.366,34.867,34.428,33.508,33.684,33.805,33.55,33.871,32.473,31.924,2023
911,ARM,Armenia,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,,,,26.097,26.152,17.837,15.41,15.751,17.146,19.334,16.494,17.046,16.744,15.217,15.457,17.895,18.05,20.085,20.479,20.867,21.221,22.09,20.921,22.204,22.048,21.494,21.416,21.242,22.298,23.925,25.246,24.083,24.268,24.959,25.159,2022
314,ABW,Aruba,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,,,,,,,,25.498,25.114,22.887,21.688,22.884,22.251,21.673,21.491,27.032,20.714,21.52,22.285,21.574,26.825,24.257,26.957,20.77,21.806,23.406,22.376,23.898,23.664,21.971,22.222,23.445,24.007,19.698,21.214,24.277,23.598,2023
193,AUS,Australia,GGR_NGDP,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,Units,See notes for:  General government revenue (National currency).,,,,,,,,,31.15,30.524,30.244,30.273,29.313,29.413,29.949,31.08,32.082,32.329,34.398,36.884,36.461,35.591,35.11,35.957,36.158,36.286,36.309,35.779,33.978,33.19,31.833,31.781,32.998,33.55,33.82,34.461,34.84,35.02,35.562,34.459,35.653,35.343,35.375,36.343,36.352,2022
