WEO_Country_Code,ISO,Country,All_Advanced_41,All_Advanced_Euro_20,All_Advanced_G7,All_Developing_155,All_Developing_Asia_30,All_Developing_Europe_15,All_Developing_Latina_Caribbean_33,All_Developing_Meast_Casia_32,All_Developing_Ssafrica_45,All_Asean_5,All_Brics_20,All_Eur_27
512,AFG,Afghanistan,0,0,0,1,0,0,0,1,0,0,0,0
914,ALB,Albania,0,0,0,1,0,1,0,0,0,0,0,0
612,DZA,Algeria,0,0,0,1,0,0,0,1,0,0,1,0
171,AND,Andorra,1,0,0,0,0,0,0,0,0,0,0,0
614,AGO,Angola,0,0,0,1,0,0,0,0,1,0,0,0
311,ATG,Antigua and Barbuda,0,0,0,1,0,0,1,0,0,0,0,0
213,ARG,Argentina,0,0,0,1,0,0,1,0,0,0,1,0
911,ARM,Armenia,0,0,0,1,0,0,0,1,0,0,0,0
314,ABW,Aruba,0,0,0,1,0,0,1,0,0,0,0,0
193,AUS,Australia,1,0,0,0,0,0,0,0,0,0,0,0
122,AUT,Austria,1,1,0,0,0,0,0,0,0,0,0,1
912,AZE,Azerbaijan,0,0,0,1,0,0,0,1,0,0,0,0
313,BHS,The Bahamas,0,0,0,1,0,0,1,0,0,0,0,0
419,BHR,Bahrain,0,0,0,1,0,0,0,1,0,0,1,0
513,BGD,Bangladesh,0,0,0,1,1,0,0,0,0,0,1,0
316,BRB,Barbados,0,0,0,1,0,0,1,0,0,0,0,0
913,BLR,Belarus,0,0,0,1,0,1,0,0,0,0,1,0
124,BEL,Belgium,1,1,0,0,0,0,0,0,0,0,0,1
339,BLZ,Belize,0,0,0,1,0,0,1,0,0,0,0,0
638,BEN,Benin,0,0,0,1,0,0,0,0,1,0,0,0
514,BTN,Bhutan,0,0,0,1,1,0,0,0,0,0,0,0
218,BOL,Bolivia,0,0,0,1,0,0,1,0,0,0,0,0
963,BIH,Bosnia and Herzegovina,0,0,0,1,0,1,0,0,0,0,0,0
616,BWA,Botswana,0,0,0,1,0,0,0,0,1,0,0,0
223,BRA,Brazil,0,0,0,1,0,0,1,0,0,0,0,0
516,BRN,Brunei Darussalam,0,0,0,1,1,0,0,0,0,0,0,0
918,BGR,Bulgaria,0,0,0,1,0,1,0,0,0,0,0,1
748,BFA,Burkina Faso,0,0,0,1,0,0,0,0,1,0,0,0
618,BDI,Burundi,0,0,0,1,0,0,0,0,1,0,0,0
624,CPV,Cabo Verde,0,0,0,1,0,0,0,0,1,0,0,0
522,KHM,Cambodia,0,0,0,1,1,0,0,0,0,0,0,0
622,CMR,Cameroon,0,0,0,1,0,0,0,0,1,0,0,0
156,CAN,Canada,1,0,1,0,0,0,0,0,0,0,0,0
626,CAF,Central African Republic,0,0,0,1,0,0,0,0,1,0,0,0
628,TCD,Chad,0,0,0,1,0,0,0,0,1,0,0,0
228,CHL,Chile,0,0,0,1,0,0,1,0,0,0,0,0
924,CHN,China,0,0,0,1,1,0,0,0,0,0,0,0
233,COL,Colombia,0,0,0,1,0,0,1,0,0,0,0,0
632,COM,Comoros,0,0,0,1,0,0,0,0,1,0,0,0
636,COD,Democratic Republic of the Congo,0,0,0,1,0,0,0,0,1,0,0,0
634,COG,Republic of Congo,0,0,0,1,0,0,0,0,1,0,0,0
238,CRI,Costa Rica,0,0,0,1,0,0,1,0,0,0,0,0
662,CIV,Côte d'Ivoire,0,0,0,1,0,0,0,0,1,0,0,0
960,HRV,Croatia,1,1,0,0,0,0,0,0,0,0,0,1
423,CYP,Cyprus,1,1,0,0,0,0,0,0,0,0,0,1
935,CZE,Czech Republic,1,0,0,0,0,0,0,0,0,0,0,1
128,DNK,Denmark,1,0,0,0,0,0,0,0,0,0,0,1
611,DJI,Djibouti,0,0,0,1,0,0,0,1,0,0,0,0
321,DMA,Dominica,0,0,0,1,0,0,1,0,0,0,0,0
243,DOM,Dominican Republic,0,0,0,1,0,0,1,0,0,0,0,0
248,ECU,Ecuador,0,0,0,1,0,0,1,0,0,0,0,0
469,EGY,Egypt,0,0,0,1,0,0,0,1,0,0,1,0
253,SLV,El Salvador,0,0,0,1,0,0,1,0,0,0,0,0
642,GNQ,Equatorial Guinea,0,0,0,1,0,0,0,0,1,0,0,0
643,ERI,Eritrea,0,0,0,1,0,0,0,0,1,0,0,0
939,EST,Estonia,1,1,0,0,0,0,0,0,0,0,0,1
734,SWZ,Eswatini,0,0,0,1,0,0,0,0,1,0,0,0
644,ETH,Ethiopia,0,0,0,1,0,0,0,0,1,0,0,0
819,FJI,Fiji,0,0,0,1,1,0,0,0,0,0,0,0
172,FIN,Finland,1,1,0,0,0,0,0,0,0,0,0,1
132,FRA,France,1,1,1,0,0,0,0,0,0,0,0,1
646,GAB,Gabon,0,0,0,1,0,0,0,0,1,0,0,0
648,GMB,The Gambia,0,0,0,1,0,0,0,0,1,0,0,0
915,GEO,Georgia,0,0,0,1,0,0,0,1,0,0,0,0
134,DEU,Germany,1,1,1,0,0,0,0,0,0,0,0,1
652,GHA,Ghana,0,0,0,1,0,0,0,0,1,0,0,0
174,GRC,Greece,1,1,0,0,0,0,0,0,0,0,0,1
328,GRD,Grenada,0,0,0,1,0,0,1,0,0,0,0,0
258,GTM,Guatemala,0,0,0,1,0,0,1,0,0,0,0,0
656,GIN,Guinea,0,0,0,1,0,0,0,0,1,0,0,0
654,GNB,Guinea-Bissau,0,0,0,1,0,0,0,0,1,0,0,0
336,GUY,Guyana,0,0,0,1,0,0,1,0,0,0,0,0
263,HTI,Haiti,0,0,0,1,0,0,1,0,0,0,0,0
268,HND,Honduras,0,0,0,1,0,0,1,0,0,0,0,0
