WEO_Country_Code,Country,Advanced_Country,Year,PCPIPCH,GGSB_NPGDP,GGXWDG_NGDP,NGDP_RPCH,PPPPC,TM_RPCH,BCA_NGDPD,NID_NGDP
614,Angola,0,1980,46.708,1.3719146784757106,41.495084920873424,2.406,1510.407,-39.0,0.8,12.122
614,Angola,0,1981,1.391,1.350920396477263,21.431768082504718,-4.4,1538.971,17.3,-2.241,13.148
614,Angola,0,1982,1.833,1.3184524057947677,17.74538384301892,5.232924342580072,1591.954,1.7,-6.053,14.916
614,Angola,0,1983,1.833,1.2654097304912428,17.70532067226542,4.2,1679.796,-2.7,-4.22,12.381
614,Angola,0,1984,1.833,1.1938392404850562,13.122156940022318,6.0,1797.332,2.2,-1.892,12.347
614,Angola,0,1985,1.833,1.2514375186554985,15.594824929597372,3.5,1703.032,-9.4,1.754,9.45
614,Angola,0,1986,1.833,1.230238784629321,17.636603277496917,2.9,1738.043,-6.5,-2.911,9.488
614,Angola,0,1987,1.833,1.1877216681072336,11.689906515989206,4.083,1807.637,-1.5,3.756,9.408
614,Angola,0,1988,1.833,1.1096986678601954,1.723559369662552,6.129,1933.704,26.9,-3.633,7.33
614,Angola,0,1989,1.833,1.0988913765042339,24.13439730332229,0.042,1956.704,-22.0,-0.879,7.292
614,Angola,0,1990,1.833,1.1276814306487624,24.079268502837202,-3.45,1908.939,-15.8,-1.425,4.354
614,Angola,0,1991,85.265,0.9900523554368073,30.317569092263525,12.084,2139.614,-3.886,-3.617,9.5
614,Angola,0,1992,299.097,0.8668679362332106,91.2325002119002,11.403,2359.976,21.141,-5.948,16.026
614,Angola,0,1993,1379.476,0.7779543638860835,413.12128026738196,10.969,2597.482,-19.125,-7.456,16.442
614,Angola,0,1994,949.771,0.6109775950918741,293.6098064740148,10.511,2839.506,-26.769,-5.205,15.984
614,Angola,0,1995,2672.23,0.5376401262936752,766.0692984802663,10.364,3095.937,27.968,-3.621,17.36
614,Angola,0,1996,4146.01,0.43128293486679126,1172.4086363804324,11.208,3391.127,27.764,31.078,21.575
614,Angola,0,1997,221.492,0.1269679060104978,82.7401970408008,7.274,3579.153,8.432,-7.158,15.836
614,Angola,0,1998,107.429,0.0699903820504737,68.53172587443328,4.691,3666.939,-5.44,-17.844,21.887
614,Angola,0,1999,248.248,0.06921037051111423,109.10912926249918,2.181,3679.306,26.806,-17.285,31.03
614,Angola,0,2000,325.029,0.027743364426901618,118.243,3.055,3753.81,3.965,6.291,30.66
614,Angola,0,2001,152.586,-0.048658595292484286,100.221,4.206,3870.505,13.854,-11.56,30.66
614,Angola,0,2002,108.893,-0.65,65.107,13.666,4321.256,-6.072,-0.867,30.66
614,Angola,0,2003,98.219,-3.029,50.76,3.49,4407.323,13.358,-3.537,31.227
614,Angola,0,2004,43.525,1.884,41.627,11.42,4868.928,9.402,2.523,31.18
614,Angola,0,2005,22.961,4.161,29.886,14.15,5531.821,36.996,12.411,27.321
614,Angola,0,2006,13.305,4.853,16.726,11.84,6152.564,2.124,18.225,24.654
614,Angola,0,2007,12.249,-0.796,18.804,13.0,6885.535,48.041,14.487,26.305
614,Angola,0,2008,12.465,-5.714,28.122,10.79,7495.186,45.521,7.282,32.388
614,Angola,0,2009,13.721,-7.783,48.448,2.0,7413.311,6.904,-9.267,42.849
614,Angola,0,2010,14.48,-2.682,32.594,5.29,7610.721,-21.365,7.856,28.158
614,Angola,0,2011,13.484,-3.223,26.318,3.59,7749.77,11.058,10.422,26.456
614,Angola,0,2012,10.285,-7.791,23.805,8.5,8249.101,7.305,9.649,26.654
614,Angola,0,2013,8.782,-9.899,29.473,4.88,8476.286,8.415,5.429,26.127
614,Angola,0,2014,7.298,-12.558,35.274,4.66,8699.296,10.368,-2.279,27.522
