WEO_Country_Group_Code,WEO_Subject_Code,Country_Series-Specific_Notes,Estimates_Start_After
1,BCA_NGDPD,,1980
110,BCA_NGDPD,,2024
163,BCA_NGDPD,,2024
119,BCA_NGDPD,,2024
123,BCA_NGDPD,,2024
998,BCA_NGDPD,,2024
510,BCA_NGDPD,,2024
200,BCA_NGDPD,,2024
505,BCA_NGDPD,,2024
903,BCA_NGDPD,,2024
205,BCA_NGDPD,,2024
400,BCA_NGDPD,,2024
603,BCA_NGDPD,,2024
1,GGR_NGDP,,1980
110,GGR_NGDP,,2024
163,GGR_NGDP,,2024
119,GGR_NGDP,,2024
123,GGR_NGDP,,2024
998,GGR_NGDP,,2024
510,GGR_NGDP,,2024
200,GGR_NGDP,,2024
505,GGR_NGDP,,2024
903,GGR_NGDP,,2024
205,GGR_NGDP,,2024
400,GGR_NGDP,,2024
603,GGR_NGDP,,2024
1,GGSB_NPGDP,,1980
110,GGSB_NPGDP,,2024
163,GGSB_NPGDP,,2024
119,GGSB_NPGDP,,2024
123,GGSB_NPGDP,,2024
998,GGSB_NPGDP,,1980
510,GGSB_NPGDP,,1980
200,GGSB_NPGDP,,1980
505,GGSB_NPGDP,,1980
903,GGSB_NPGDP,,1980
205,GGSB_NPGDP,,1980
400,GGSB_NPGDP,,1980
603,GGSB_NPGDP,,1980
1,GGX_NGDP,,1980
110,GGX_NGDP,,2024
163,GGX_NGDP,,2024
119,GGX_NGDP,,2024
123,GGX_NGDP,,2024
998,GGX_NGDP,,2024
510,GGX_NGDP,,2024
200,GGX_NGDP,,2024
505,GGX_NGDP,,2024
903,GGX_NGDP,,2024
205,GGX_NGDP,,2024
400,GGX_NGDP,,2024
603,GGX_NGDP,,2024
1,GGXWDG_NGDP,,1980
110,GGXWDG_NGDP,,2024
163,GGXWDG_NGDP,,2024
119,GGXWDG_NGDP,,2024
123,GGXWDG_NGDP,,2024
998,GGXWDG_NGDP,,2024
510,GGXWDG_NGDP,,2024
200,GGXWDG_NGDP,,2024
505,GGXWDG_NGDP,,2024
903,GGXWDG_NGDP,,2024
205,GGXWDG_NGDP,,2024
400,GGXWDG_NGDP,,2024
603,GGXWDG_NGDP,,2024
1,LUR,,1980
110,LUR,,2024
163,LUR,,2024
119,LUR,,2024
123,LUR,,2024
998,LUR,,1980
510,LUR,,1980
200,LUR,,1980
505,LUR,,1980
903,LUR,,1980
205,LUR,,1980
400,LUR,,1980
603,LUR,,1980
1,NGDP_RPCH,,2024
110,NGDP_RPCH,,2024
163,NGDP_RPCH,,2024
119,NGDP_RPCH,,2024
123,NGDP_RPCH,,2024
998,NGDP_RPCH,,2024
510,NGDP_RPCH,,2024
200,NGDP_RPCH,,2024
505,NGDP_RPCH,,2024
903,NGDP_RPCH,,2024
205,NGDP_RPCH,,2024
400,NGDP_RPCH,,2024
603,NGDP_RPCH,,2024
1,NGSD_NGDP,,2024
110,NGSD_NGDP,,2024
163,NGSD_NGDP,,2024
119,NGSD_NGDP,,2024
123,NGSD_NGDP,,2024
998,NGSD_NGDP,,2024
510,NGSD_NGDP,,2024
200,NGSD_NGDP,,2024
505,NGSD_NGDP,,2024
903,NGSD_NGDP,,2024
205,NGSD_NGDP,,2024
400,NGSD_NGDP,,2024
603,NGSD_NGDP,,2024
1,NID_NGDP,,2024
110,NID_NGDP,,2024
163,NID_NGDP,,2024
119,NID_NGDP,,2024
123,NID_NGDP,,2024
998,NID_NGDP,,2024
510,NID_NGDP,,2024
200,NID_NGDP,,2024
505,NID_NGDP,,2024
903,NID_NGDP,,2024
205,NID_NGDP,,2024
400,NID_NGDP,,2024
603,NID_NGDP,,2024
1,PCPIPCH,,2024
110,PCPIPCH,,2024
163,PCPIPCH,,2024
119,PCPIPCH,,2024
123,PCPIPCH,,2024
998,PCPIPCH,,2024
510,PCPIPCH,,2024
200,PCPIPCH,,2024
505,PCPIPCH,,2024
903,PCPIPCH,,2024
205,PCPIPCH,,2024
400,PCPIPCH,,2024
603,PCPIPCH,,2024
1,PPPPC,,1980
110,PPPPC,,2024
163,PPPPC,,1980
119,PPPPC,,2024
123,PPPPC,,2024
998,PPPPC,,2024
510,PPPPC,,2024
200,PPPPC,,2024
505,PPPPC,,2024
903,PPPPC,,2024
205,PPPPC,,2024
400,PPPPC,,2024
603,PPPPC,,2024
1,PPPSH,,1980
110,PPPSH,,2024
163,PPPSH,,1980
119,PPPSH,,2024
123,PPPSH,,2024
998,PPPSH,,2024
510,PPPSH,,2024
200,PPPSH,,2024
505,PPPSH,,2024
903,PPPSH,,2024
205,PPPSH,,2024
400,PPPSH,,2024
603,PPPSH,,2024
1,TM_RPCH,,2024
110,TM_RPCH,,2024
163,TM_RPCH,,2024
119,TM_RPCH,,2024
123,TM_RPCH,,2024
998,TM_RPCH,,1980
510,TM_RPCH,,2024
200,TM_RPCH,,2024
505,TM_RPCH,,2024
903,TM_RPCH,,2024
205,TM_RPCH,,2024
400,TM_RPCH,,2024
603,TM_RPCH,,2024
1,TX_RPCH,,2024
110,TX_RPCH,,2024
163,TX_RPCH,,2024
119,TX_RPCH,,2024
123,TX_RPCH,,2024
998,TX_RPCH,,1980
510,TX_RPCH,,2024
200,TX_RPCH,,2024
505,TX_RPCH,,2024
903,TX_RPCH,,2024
205,TX_RPCH,,2024
400,TX_RPCH,,2024
603,TX_RPCH,,2024
