WEO_Country_Group_Code,Year,BCA_NGDPD,GGR_NGDP,GGSB_NPGDP,GGXWDG_NGDP,GGX_NGDP,LUR,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPIPCH,PPPPC,PPPSH,TM_RPCH,TX_RPCH
1,1980,,,,,,,2.228,23.746,26.601,17.282,,,1.53,4.708
1,1981,,,,,,,2.01,23.419,25.979,15.018,,,2.28,4.602
1,1982,,,,,,,0.747,22.113,24.582,14.283,,,-1.611,-1.495
1,1983,,,,,,,2.717,21.328,24.157,13.421,,,1.626,1.352
1,1984,,,,,,,4.632,22.572,25.127,13.958,,,8.788,8.398
1,1985,,,,,,,3.656,22.115,24.761,13.656,,,2.298,2.968
1,1986,,,,,,,3.377,22.08,24.59,11.742,,,5.471,3.738
1,1987,,,,,,,3.947,22.696,24.91,14.511,,,7.293,5.95
1,1988,,,,,,,4.524,23.842,25.821,19.093,,,8.91,8.964
1,1989,,,,,,,3.73,23.974,26.274,22.004,,,8.523,7.726
1,1990,,,,,,,3.226,23.804,25.827,25.419,,,6.676,7.113
1,1991,,,,,,,2.427,23.348,25.058,16.889,,,4.581,6.177
1,1992,,,,,,,2.18,22.543,24.268,39.33,,,5.261,5.537
1,1993,,,,,,,1.949,22.427,23.791,39.793,,,1.981,3.339
1,1994,,,,,,,3.154,22.606,24.172,30.844,,,10.211,8.71
1,1995,,,,,,,3.294,23.142,24.339,16.237,,,9.415,9.591
1,1996,,,,,,,3.858,23.848,24.219,9.526,,,7.07,6.063
1,1997,,,,,,,4.014,24.044,24.141,6.647,,,10.066,10.537
1,1998,,,,,,,2.645,23.736,23.838,6.297,,,5.192,4.485
1,1999,,,,,,,3.578,23.597,23.845,6.186,,,5.709,4.566
1,2000,,,,,,,4.77,24.101,24.31,4.97,,,12.562,12.46
1,2001,,,,,,,2.474,23.343,23.609,4.637,,,0.648,0.549
1,2002,,,,,,,2.787,22.742,22.949,3.715,,,3.861,3.899
1,2003,,,,,,,3.783,22.92,23.128,3.877,,,6.007,5.418
1,2004,,,,,,,5.254,23.815,23.822,3.784,,,10.727,10.954
1,2005,,,,,,,4.685,24.311,24.203,3.948,,,8.066,7.709
1,2006,,,,,,,5.266,25.384,24.766,3.939,,,9.204,9.617
1,2007,,,,,,,5.326,25.545,25.311,4.137,,,8.203,7.717
1,2008,,,,,,,2.895,25.097,25.307,6.278,,,3.041,2.827
1,2009,,,,,,,-0.379,23.232,23.255,2.626,,,-10.686,-9.82
1,2010,,,,,,,5.208,24.855,24.488,3.597,,,12.584,12.843
1,2011,,,,,,,4.048,25.737,25.24,4.934,,,7.096,6.648
1,2012,,,,,,,3.344,26.018,25.391,3.987,,,3.046,3.483
1,2013,,,,,,,3.358,25.981,25.441,3.521,,,3.521,3.538
1,2014,,,,,,,3.508,26.428,25.751,3.158,,,4.068,3.48
1,2015,,,,,,,3.431,26.195,25.791,2.704,,,2.726,3.137
1,2016,,,,,,,3.257,25.804,25.476,2.682,,,2.101,2.286
1,2017,,,,,,,3.837,26.445,25.966,3.236,,,5.659,5.427
1,2018,,,,,,,3.633,26.814,26.506,3.629,,,4.258,3.69
1,2019,,,,,,,2.913,26.833,26.47,3.503,,,1.123,1.247
1,2020,,,,,,,-2.687,26.646,26.374,3.262,,,-8.764,-8.195
1,2021,,,,,,,6.573,27.932,27.085,4.66,,,10.771,10.905
1,2022,,,,,,,3.551,27.929,27.431,8.627,,,6.08,5.243
1,2023,,,,,,,3.325,26.584,26.439,6.66,,,0.662,0.84
1,2024,,,,,,,3.232,26.398,26.22,5.757,,,3.009,3.247
110,1980,-1.078,,,,,5.59,1.32,23.491,26.496,13.674,10426.627,64.774,-0.936,6.052
110,1981,-0.657,,,,,6.331,1.83,23.419,25.775,11.121,11528.772,64.612,0.017,4.94
110,1982,-0.467,,,,,7.598,0.236,22.438,24.253,8.408,12181.924,64.407,-0.351,-0.953
110,1983,-0.374,,,,,7.918,3.177,21.644,23.955,6.074,12977.294,64.782,3.133,2.448
110,1984,-0.541,,,,,7.506,4.811,23.063,25.335,6.485,14006.45,64.952,11.326,9.814
110,1985,-0.561,,,,,7.353,3.686,22.574,24.846,5.474,14895.098,65.0,4.053,4.324
110,1986,-0.151,,,,,7.26,3.276,22.72,24.845,2.904,15599.5,64.995,7.619,3.83
110,1987,-0.298,,,,,6.89,3.788,23.089,25.215,3.178,16489.285,64.91,7.963,5.996
110,1988,-0.165,,,,,6.341,4.747,24.391,26.048,3.561,17762.954,65.112,9.433,8.761
110,1989,-0.342,,,,,5.885,3.981,24.291,26.331,4.748,19057.425,65.344,8.577,7.885
110,1990,-0.447,,,,,5.808,3.051,23.639,25.925,4.929,20197.075,64.825,5.959,7.013
110,1991,-0.167,,,,,6.45,1.618,23.449,24.992,4.746,21016.8,64.392,3.546,6.02
110,1992,-0.152,,,,,7.103,2.241,22.682,24.258,3.57,21661.478,59.323,4.744,5.262
110,1993,0.255,,,,,7.583,1.295,22.405,23.643,3.221,22175.319,59.122,0.757,2.655
