WEO_Country_Code,ISO,Country,WEO_Subject_Code,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-Specific_Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates_Start_After
512,AFG,Afghanistan,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,"Source: National Statistics Office Latest actual data: FY2023/24 Notes: Historical data through 2020 are presented on a calendar year basis having been converted from original source data compiled in solar year (through 2015) and calendar year (2016-20). From 2021 onwards, data are compiled by the source and presented on the basis of the solar year. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Historical data through 2020 are presented on a calendar year basis. From 2021 onwards, data is presented on a solar year basis. Solar year (March 21 - March 20) data are mapped to calendar year such that SY(t/t+1)=CY(t). Start/end months of reporting year: April/March Base year: 2016 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: 08/2024",,,,,,,,,,,,,,,,,,,,,,,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.46,18.467,19.283,18.481,18.047,18.192,17.011,10.938,7.947,9.686,,2024
914,ALB,Albania,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 10/2024",4.85,44.377,47.592,50.658,52.943,46.186,44.293,46.325,45.102,44.823,49.84,9.509,7.438,18.881,25.603,25.746,18.064,16.659,19.743,19.735,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.118,23.032,22.677,25.469,24.874,19.444,21.216,2022
612,DZA,Algeria,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,"Source: National Statistics Office Latest actual data: 2023. From 2001 and onward, the nominal GDP and its components are computed according to the 2008 System of National Accounts (SNA) standard with base year 2001. Before 2001, these data are based on the 1968 SNA with base year 1989. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 09/2024",36.058,34.282,34.797,35.003,32.853,31.19,31.823,28.378,26.366,33.019,31.196,32.984,32.038,30.902,33.881,33.916,27.553,25.555,29.792,28.736,25.403,29.516,33.135,32.37,34.945,30.505,30.125,34.291,37.574,47.567,44.251,40.727,42.557,45.924,48.502,53.301,54.205,50.927,48.939,47.041,44.52,40.902,35.979,38.622,36.299,2023
171,AND,Andorra,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
614,AGO,Angola,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2022. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities' National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 09/2024",12.122,13.148,14.916,12.381,12.347,9.45,9.488,9.408,7.33,7.292,4.354,9.5,16.026,16.442,15.984,17.36,21.575,15.836,21.887,31.03,30.66,30.66,30.66,31.227,31.18,27.321,24.654,26.305,32.388,42.849,28.158,26.456,26.654,26.127,27.522,34.63,28.216,32.769,30.8,30.851,35.878,36.101,33.606,34.028,32.684,2022
311,ATG,Antigua and Barbuda,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,Source: Central Bank Latest actual data: 2022. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Nominal and real GDP are measured at market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16,7.178,14.022,25.929,38.25,36.453,37.843,46.559,40.487,37.412,35.656,2022
213,ARG,Argentina,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,Source: National Statistics Office Latest actual data: 2023 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 09/2024,20.346,18.197,17.618,16.797,15.94,13.95,13.977,15.698,15.063,12.465,11.354,11.895,13.431,17.301,17.509,16.399,17.403,18.415,18.551,15.557,15.337,13.64,9.965,12.877,17.551,18.888,18.68,20.099,19.573,16.053,17.706,18.398,16.502,17.306,17.263,17.071,17.663,18.213,16.614,14.1,16.598,17.875,17.802,18.805,20.57,2023
911,ARM,Armenia,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2024,,,,,,,,,,,,,8.824,7.698,27.942,20.809,21.095,23.266,22.686,20.769,18.232,15.844,18.159,24.392,22.919,28.371,33.55,38.161,43.809,33.822,29.419,27.001,22.759,22.125,21.025,21.204,18.016,18.422,22.4,17.409,19.664,22.964,22.379,21.295,20.073,2022
314,ABW,Aruba,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
193,AUS,Australia,NID_NGDP,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2023. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2023. The base period is 2023Q1-2023Q4 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2024",27.139,28.897,26.502,23.062,26.734,27.243,25.556,26.394,28.837,30.15,26.394,22.761,22.723,23.92,25.882,25.198,24.777,24.758,26.295,26.292,24.946,23.46,25.219,26.748,27.214,27.834,27.085,28.196,28.335,26.929,26.305,26.836,28.442,27.079,26.436,25.883,24.675,24.277,24.172,22.55,22.3,23.313,23.722,23.981,24.149,2023
