WEO_Country_Code,ISO,Country,WEO_Subject_Code,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-Specific_Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates_Start_After
512,AFG,Afghanistan,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Historical data obtained from various sources: Central Statistical Office; Directions of Trade Statistics; and IMF staff estimates. From 2021, the data source is the National Statistic and Information Authority, Central Bank and IMF Staff Estimates. Latest actual data: FY2023/24 Base year: FY2003/04 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Excluded items in trade: Re-exports; Re-imports; Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Afghan afghani Data last updated: 08/2024",,,,,,,,,,,,,,,,,,,,,,,,49.541,-8.436,41.968,-6.919,-11.904,-6.742,30.013,11.218,2.5,-19.506,-40.138,51.847,-10.234,-16.004,-6.119,27.753,-2.916,0.534,,,,,2024
914,ALB,Albania,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank Latest actual data: 2022 Notes: Although quarterly trade data from Bank of Albania is available in BPM6, monthly goods export and import data from INSTAT is provided in BPM5. Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 10/2024",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,-19.051,24.363,88.951,16.254,23.9,3.878,9.51,20.63,6.026,12.578,17.0,-7.623,3.321,10.451,1.013,-0.407,8.288,3.199,5.908,10.388,10.113,3.523,1.651,-27.441,41.449,28.29,23.775,7.771,2022
612,DZA,Algeria,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank Latest actual data: 2023 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Direct volume measures for hydrocarbon exports. Value divided by price for other products. Chain-weighted: Yes, from 2005 Trade System: General trade Oil coverage: Hydrocarbons, related to the oil and gas sector Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Algerian dinar Data last updated: 09/2024",-14.588,,0.3,10.2,6.2,2.6,-0.3,6.0,0.4,8.0,3.4,0.575,5.989,2.135,-6.118,5.733,5.749,11.257,1.653,3.518,3.325,-1.696,5.798,6.754,2.729,4.954,-3.007,-1.882,-3.568,-8.443,-3.218,-4.822,-3.652,-6.394,0.311,5.733,9.612,0.042,-7.913,-2.954,-4.154,15.855,1.37,1.833,2.194,2023
171,AND,Andorra,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
614,AGO,Angola,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank. National Bank of Angola Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Explicit volume numbers on exports are used (e.g. barrels exported). Import volumes are derived using an estimated unit value index. Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 09/2024",-3.0,8.0,-12.9,4.6,12.5,-5.9,-33.8,54.3,7.0,2.7,14.6,0.186,8.359,-8.275,8.236,12.24,10.698,6.02,2.536,1.426,1.624,-2.578,23.562,-1.931,13.537,28.148,14.255,17.501,10.105,-2.64,-3.266,-5.404,3.838,0.064,-2.115,6.721,-1.971,-1.252,-10.725,-5.927,-7.342,-8.558,3.271,-4.976,0.448,2022
311,ATG,Antigua and Barbuda,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank Latest actual data: 2023 Notes: On account of a methodological change to the compilation of balance of payments statistics, data for BOP series before 2014 have been removed. Base year: 2006. 2014-2020 Compiled under BPM6 Methodology used to derive volumes: Volume = Value/Deflators Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Valuation of exports: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Valuation of imports: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.134,1.907,-6.991,2.672,13.925,-50.106,17.926,56.775,9.745,12.704,2023
213,ARG,Argentina,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 09/2024",43.237,5.204,3.947,2.582,-2.591,15.554,-9.975,-3.519,18.728,7.472,16.833,-5.105,2.105,2.385,17.375,25.559,6.395,15.099,12.717,-2.124,1.898,6.096,0.244,5.006,-0.15,11.583,4.473,5.935,-0.739,-10.68,13.473,2.368,-5.61,-3.807,-7.851,-1.677,6.894,-0.246,-0.417,12.099,-12.796,12.578,-1.816,-14.38,20.14,2023
911,ARM,Armenia,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank Latest actual data: 2022 Base year: 2016 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Excluded items in trade: No items excluded. Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Armenian dram Data last updated: 09/2024",,,,,,,,,,,,,,,,,27.7,-6.614,16.379,12.073,12.411,32.177,30.704,20.218,-3.161,18.642,-10.586,8.218,-3.09,-10.193,15.837,11.736,12.099,13.071,9.415,9.635,17.436,14.555,8.049,17.498,-34.694,5.422,92.264,41.876,20.057,2022
314,ABW,Aruba,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
193,AUS,Australia,TX_RPCH,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2023 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Excluded items in trade: No items are excluded Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 09/2024",-0.915,-3.403,8.771,-4.36,16.092,10.397,3.625,12.119,7.3,3.191,7.538,12.923,6.422,8.374,7.941,5.423,10.51,11.926,0.155,4.642,11.738,3.027,0.836,-1.202,3.864,3.352,3.392,3.308,4.663,1.928,5.604,-0.259,5.718,5.83,6.973,6.189,6.818,3.372,5.135,3.098,-9.646,-2.443,2.573,6.719,2.075,2023
