WEO_Country_Code,ISO,Country,WEO_Subject_Code,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-Specific_Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates_Start_After
512,AFG,Afghanistan,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Historical data obtained from various sources: Central Statistical Office; Directions of Trade Statistics; and IMF staff estimates. From 2021, the data source is the National Statistic and Information Authority, Central Bank and IMF Staff Estimates. Latest actual data: FY2023/24 Base year: FY2003/04 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Excluded items in trade: Re-exports; Re-imports; Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Afghan afghani Data last updated: 08/2024",,,,,,,,,,,,,,,,,,,,,,,,36.222,-0.427,55.01,-2.198,-10.21,-8.267,31.064,31.901,12.397,31.697,3.405,-14.249,16.629,-8.394,3.812,-4.973,-7.026,-3.901,,,,,2024
914,ALB,Albania,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank Latest actual data: 2022 Notes: Although quarterly trade data from Bank of Albania is available in BPM6, monthly goods export and import data from INSTAT is provided in BPM5. Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 10/2024",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-9.901,28.907,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,5.36,18.95,3.567,-2.225,-9.36,3.639,-7.604,-0.612,5.418,0.07,8.264,6.032,5.766,4.719,-19.547,23.655,11.68,10.617,11.55,2022
612,DZA,Algeria,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank Latest actual data: 2023 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Direct volume measures for hydrocarbon exports. Value divided by price for other products. Chain-weighted: Yes, from 2005 Trade System: General trade Oil coverage: Hydrocarbons, related to the oil and gas sector Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Algerian dinar Data last updated: 09/2024",5.047,,16.3,-1.7,6.2,5.7,-22.0,-28.7,3.4,16.8,-9.0,-17.9,4.6,-6.7,6.1,2.0,-13.3,2.4,6.5,1.8,7.6,11.2,23.2,-2.911,21.906,6.465,0.444,24.57,37.277,3.624,-0.038,5.96,7.316,7.663,9.296,-6.087,-1.253,-0.843,-1.638,-9.681,-18.95,-5.7,-5.022,13.17,9.036,2023
171,AND,Andorra,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
614,AGO,Angola,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank. National Bank of Angola Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Explicit volume numbers on exports are used (e.g. barrels exported). Import volumes are derived using an estimated unit value index. Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 09/2024",-39.0,17.3,1.7,-2.7,2.2,-9.4,-6.5,-1.5,26.9,-22.0,-15.8,-3.886,21.141,-19.125,-26.769,27.968,27.764,8.432,-5.44,26.806,3.965,13.854,-6.072,13.358,9.402,36.996,2.124,48.041,45.521,6.904,-21.365,11.058,7.305,8.415,10.368,-19.489,-30.326,5.655,-11.251,-11.289,-32.683,8.02,42.314,-13.978,3.415,2022
311,ATG,Antigua and Barbuda,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank Latest actual data: 2023 Notes: On account of a methodological change to the compilation of balance of payments statistics, data for BOP series before 2014 have been removed. Base year: 2006. 2014-2020 Compiled under BPM6 Methodology used to derive volumes: Volume = Value/Deflators Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Valuation of exports: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Valuation of imports: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.215,8.808,1.098,9.642,4.941,-33.678,5.543,25.548,5.477,7.696,2023
213,ARG,Argentina,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 09/2024",41.493,-8.239,-42.58,-6.924,4.705,-13.038,18.523,11.422,-9.204,-16.419,-0.69,75.576,66.462,13.423,26.7,-11.484,19.483,29.985,9.894,-15.929,-2.322,-16.587,-53.558,48.953,51.05,18.243,12.871,22.147,14.525,-23.812,39.539,21.71,-5.815,3.576,-10.942,2.717,3.498,14.357,-6.102,-20.977,-10.326,29.658,11.605,-2.456,-17.406,2023
911,ARM,Armenia,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: Central Bank Latest actual data: 2022 Base year: 2016 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Excluded items in trade: No items excluded. Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Armenian dram Data last updated: 09/2024",,,,,,,,,,,,,,,,,19.131,12.926,11.956,-8.204,5.073,13.4,11.907,20.344,5.127,18.239,12.285,35.374,16.941,-16.578,4.127,-1.931,5.399,9.69,3.178,-10.261,5.931,22.546,14.319,13.704,-31.495,2.813,50.085,48.043,24.607,2022
314,ABW,Aruba,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
193,AUS,Australia,TM_RPCH,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2023 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Excluded items in trade: No items are excluded Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 09/2024",4.997,10.042,5.46,-9.819,22.058,3.79,-3.149,2.516,21.0,21.177,-3.865,-2.599,6.854,5.161,14.287,8.793,8.008,10.434,7.276,8.196,8.036,-4.651,10.877,11.006,15.548,9.361,8.719,13.032,10.897,-9.053,16.275,10.232,6.569,-2.304,-1.474,2.062,0.238,7.75,4.634,-1.045,-11.839,4.815,13.472,6.446,5.125,2023
