WEO_Country_Code,ISO,Country,WEO_Subject_Code,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-Specific_Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates_Start_After
512,AFG,Afghanistan,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,,,,,,,,,,,,,6.943,11.927,15.069,15.651,18.262,21.448,20.899,21.151,20.789,21.937,25.028,24.977,25.402,25.947,28.029,27.732,28.936,27.999,27.937,17.934,16.116,16.887,,2024
914,ALB,Albania,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,,,,,,,,30.3,36.751,37.108,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.758,29.139,29.162,29.077,29.075,32.552,32.124,30.445,29.174,30.819,2022
612,DZA,Algeria,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,23.275,27.588,28.21,32.581,30.946,28.911,26.886,28.52,28.733,29.426,26.352,29.089,32.494,27.026,27.082,27.843,27.838,33.108,37.306,40.114,35.09,37.721,40.031,33.466,36.947,40.918,37.179,36.249,36.25,37.099,37.506,32.54,32.699,38.061,38.48,2023
171,AND,Andorra,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,,,,,,,,,,,,26.704,25.0,24.216,23.69,23.387,25.189,27.602,29.461,29.916,28.85,29.109,33.935,31.962,31.662,33.329,34.568,34.852,35.93,35.844,42.328,39.04,34.89,36.316,36.702,2023
614,AGO,Angola,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,,,,,,,29.312,31.068,30.32,45.714,35.821,30.274,27.569,30.122,25.999,23.691,27.331,34.072,47.201,38.729,34.551,33.302,33.187,32.941,32.303,23.873,19.423,21.032,18.265,18.214,19.994,17.28,19.51,19.242,16.441,2022
311,ATG,Antigua and Barbuda,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,18.129,20.762,18.689,19.427,21.154,20.987,19.571,16.757,20.661,20.303,21.103,24.19,26.333,24.253,21.933,21.544,26.03,23.82,23.21,32.08,19.964,21.087,18.532,20.7,20.856,24.827,23.779,22.605,21.539,22.123,25.993,23.397,20.692,18.443,18.471,2023
213,ARG,Argentina,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,,,,22.017,22.938,22.862,22.687,22.586,23.13,25.471,25.247,26.432,21.853,22.026,23.03,24.426,26.617,29.551,30.762,34.524,33.358,34.902,36.821,37.603,38.853,41.366,41.522,41.121,38.949,38.129,42.479,37.883,37.715,37.835,32.012,2023
911,ARM,Armenia,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,,,,,,,,,,,,,,,,19.871,20.0,22.42,22.236,28.553,26.201,24.964,22.415,23.797,23.991,26.331,27.048,26.027,24.05,24.902,30.648,28.667,26.379,26.986,29.912,2022
314,ABW,Aruba,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,,,,,,,,26.332,27.458,24.989,21.574,22.798,21.606,22.508,24.66,25.136,29.245,24.477,24.827,22.62,25.359,26.888,30.443,27.199,30.761,29.454,29.834,25.373,25.119,24.558,24.863,23.688,40.237,28.859,21.679,21.697,21.248,2023
193,AUS,Australia,GGX_NGDP,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,Units,See notes for:  General government total expenditure (National currency).,,,,,,,,,30.673,29.599,30.475,33.061,34.058,34.14,33.742,33.683,33.538,32.822,34.643,36.218,35.211,35.622,34.917,34.906,34.835,34.58,34.537,34.304,35.078,37.753,36.948,36.307,36.507,36.36,36.737,37.246,37.263,36.736,36.819,38.864,44.372,41.696,37.562,37.2,38.014,2022
