WEO_Country_Code,ISO,Country,WEO_Subject_Code,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-Specific_Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates_Start_After
512,AFG,Afghanistan,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",,,,,,,,,,,,,,,,,,,,,,,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.549,3.709,9.029,7.576,12.143,11.705,13.974,,,,,2020
914,ALB,Albania,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.054,-0.455,-2.264,-1.583,-1.316,-1.158,0.057,0.265,-0.986,-2.691,-4.313,-12.368,-8.185,1.674,-3.706,-1.968,-7.894,-13.245,-6.958,-1.936,-7.061,-6.316,-10.161,-7.764,-5.855,-9.106,-6.656,-10.58,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.754,-7.571,-8.659,-7.676,-5.874,-1.247,-0.789,2022
612,DZA,Algeria,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.526,-0.435,-0.897,-0.165,0.133,1.529,-3.338,0.206,-3.389,-1.811,2.01,4.719,2.415,1.464,-3.993,-4.9,2.449,6.598,-1.74,0.038,15.386,11.883,7.086,11.987,12.094,19.789,23.52,21.476,19.098,0.273,6.838,9.07,5.411,0.363,-3.949,-14.555,-14.645,-11.753,-8.68,-8.746,-11.338,-2.427,8.449,2.49,1.284,2023
171,AND,Andorra,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01,15.526,14.06,17.251,17.018,17.161,2022
614,AGO,Angola,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.8,-2.241,-6.053,-4.22,-1.892,1.754,-2.911,3.756,-3.633,-0.879,-1.425,-3.617,-5.948,-7.456,-5.205,-3.621,31.078,-7.158,-17.844,-17.285,6.291,-11.56,-0.867,-3.537,2.523,12.411,18.225,14.487,7.282,-9.267,7.856,10.422,9.649,5.429,-2.279,-7.802,-2.688,-0.453,6.483,5.427,1.311,9.955,8.287,3.816,3.347,2022
311,ATG,Antigua and Barbuda,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038,2.034,-2.388,-7.716,-13.994,-6.509,-15.88,-17.956,-15.856,-12.822,-10.512,2022
213,ARG,Argentina,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-1.101,-3.014,-3.095,-2.095,-1.911,-0.966,-2.411,-3.484,-1.104,1.199,2.952,-0.202,-2.529,-3.042,-3.815,-1.769,-2.352,-3.753,-4.38,-3.815,-2.878,-1.316,7.666,5.597,1.798,2.473,2.791,2.101,1.491,2.167,-0.382,-1.012,-0.369,-2.147,-1.629,-2.743,-2.713,-4.838,-5.164,-0.781,0.698,1.363,-0.641,-3.246,0.593,2023
911,ARM,Armenia,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",,,,,,,,,,,,,-46.28,-5.993,3.804,-16.972,-18.202,-19.315,-21.993,-16.936,-15.78,-10.44,-6.219,-6.181,-2.204,-2.529,-2.395,-7.357,-14.225,-16.484,-13.622,-10.44,-9.962,-7.297,-7.75,-2.661,-0.957,-1.261,-7.228,-7.057,-3.998,-3.48,0.331,-2.31,-4.217,2022
314,ABW,Aruba,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",,,,,,,,,,,,,,,,,,,,-25.271,11.345,16.35,-16.996,-8.182,12.156,4.908,12.702,9.687,0.018,6.935,-18.737,-10.02,3.602,-11.957,-4.797,3.881,4.557,0.959,-0.53,0.191,-16.609,-2.089,5.995,4.841,6.223,2023
193,AUS,Australia,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.367,-4.056,-4.106,-3.147,-4.146,-4.862,-5.049,-3.389,-3.826,-5.974,-4.859,-3.287,-3.283,-3.036,-4.491,-4.958,-3.499,-2.927,-4.908,-5.479,-4.046,-2.249,-3.799,-5.323,-6.306,-5.952,-5.876,-6.746,-4.855,-4.509,-3.683,-2.967,-4.344,-3.364,-3.048,-4.619,-3.284,-2.566,-2.236,0.348,2.179,2.89,0.867,0.252,-0.875,2023
