WEO_Country_Code,ISO,Country,WEO_Subject_Code,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-Specific_Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates_Start_After
512,AFG,Afghanistan,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,7.79,7.8,5.0,,,,5.47,5.47,,,,,5.63,,,,,,,2022
914,ALB,Albania,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,,,,,,14.41,,,11.65,11.28,8.35,8.17,7.34,7.11,6.61,5.72,2.08,4.9,4.87,1.24,1.1,1.17,1.14,1.11,1.06,0.85,1.02,1.02,1.1,1.13,0.26,,,2022
612,DZA,Algeria,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,,15.44,,,,16.93,17.26,,,15.16,12.99,11.97,,10.23,9.93,9.63,9.2,9.36,,,,,8.35,8.27,8.85,9.38,9.98,9.99,10.16,10.29,9.25,,,2022
171,AND,Andorra,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
614,AGO,Angola,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,,,,,,,,,,,8.44,,6.16,7.08,7.08,,9.17,9.15,9.23,8.36,7.61,7.52,10.3,9.38,9.38,,7.68,6.52,9.23,11.33,8.85,,,2022
311,ATG,Antigua and Barbuda,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,,,,,22.64,,,20.3,15.39,12.8,12.8,12.36,12.11,12.18,11.73,13.57,12.83,14.8,11.56,11.56,12.0,14.51,9.95,12.03,11.88,12.72,14.89,13.07,13.07,13.07,,,,2022
213,ARG,Argentina,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,12.66,12.53,,8.34,13.33,13.93,15.67,11.29,10.52,9.25,12.01,12.87,5.96,5.22,5.49,5.83,5.39,5.93,5.99,5.68,6.02,6.27,6.63,7.35,7.53,7.93,7.42,7.26,6.88,6.51,6.45,,,2022
911,ARM,Armenia,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,,,,,,,,,,2.43,,2.27,2.41,2.28,1.94,2.42,2.27,2.69,2.8,3.08,2.41,2.23,2.39,2.93,2.13,2.22,,4.09,3.11,3.61,,,,2022
314,ABW,Aruba,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.97,9.52,9.69,,10.02,10.16,10.3,10.15,12.12,,9.66,,,,2022
193,AUS,Australia,TRWMA,"Tariff rate, applied, weighted mean, all products","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead.",Percent,Units,See notes for: Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country.,,,,,,,,,,,,18.56,,9.75,,,6.81,6.82,6.49,6.1,5.83,4.8,3.69,3.74,3.69,3.07,3.38,3.45,3.15,3.67,2.8,1.77,1.81,1.84,1.91,1.9,1.18,0.89,0.86,0.77,0.71,0.81,0.99,,,2022
