WEO_Country_Code,Country,Advanced_Country,Year,BCA_NGDPD,GGR_NGDP,GGSB_NPGDP,GGXWDG_NGDP,GGX_NGDP,LUR,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPIPCH,PPPEX,PPPPC,PPPSH,TM_RPCH,TRWMA,TX_RPCH
213,Argentina,0,1995,-1.769,20.788,-1.094,30.749,22.862,18.904,-2.845,17.662,16.399,-9.473536705850947,0.715,11598.011,1.056,-11.484,8.34,25.559
213,Argentina,0,1996,-2.352,19.876,-2.373,32.551,22.687,18.76,5.527,15.051,17.403,-11.806940740830271,0.702,12315.594,1.074,19.483,13.33,6.395
213,Argentina,0,1997,-3.753,20.748,-2.713,31.676,22.586,16.808,8.111,14.662,18.415,-7.903245892894859,0.687,13388.591,1.116,29.985,13.93,15.099
213,Argentina,0,1998,-4.38,21.303,-3.298,34.147,23.13,14.789,3.85,14.17,18.551,0.925,0.668,13903.767,1.129,9.894,15.67,12.717
213,Argentina,0,1999,-3.815,21.766,-4.451,38.917,25.471,16.061,-3.385,11.742,15.557,-1.167,0.646,13475.982,1.054,-15.929,11.29,-2.124
213,Argentina,0,2000,-2.878,21.83,-4.552,40.833,25.247,17.134,-0.789,12.459,15.337,-0.939,0.639,13529.29,0.995,-2.322,10.52,1.898
213,Argentina,0,2001,-1.316,21.068,-5.59,48.007,26.432,19.209,-4.409,12.325,13.64,-1.065,0.618,13091.488,0.929,-16.587,9.25,6.096
213,Argentina,0,2002,7.666,19.943,1.188,147.203,21.853,22.45,-10.894,17.631,9.965,25.869,0.794,11733.021,0.806,-53.558,12.01,0.244
213,Argentina,0,2003,5.597,23.526,3.453,125.162,22.026,17.25,8.955,18.474,12.877,13.443,0.859,12914.244,0.847,48.953,12.87,5.006
213,Argentina,0,2004,1.798,26.996,4.719,117.878,23.03,13.625,8.911,19.35,17.551,4.416,0.887,14308.616,0.878,51.05,5.96,-0.15
213,Argentina,0,2005,2.473,27.766,4.376,80.282,24.426,11.575,8.852,21.362,18.888,9.642,0.949,15911.199,0.913,18.243,5.22,11.583
213,Argentina,0,2006,2.791,28.267,2.755,70.793,26.617,10.175,8.047,21.471,18.68,10.898,1.047,17549.655,0.938,12.871,5.49,4.473
213,Argentina,0,2007,2.101,30.308,0.688,62.133,29.551,8.475,9.008,22.2,20.099,8.83,1.171,19456.17,0.973,22.147,5.83,5.935
213,Argentina,0,2008,1.491,31.114,-0.446,53.814,30.762,7.875,4.057,21.064,19.573,8.585,1.416,20433.475,0.985,14.525,5.39,-0.739
213,Argentina,0,2009,2.167,32.694,0.479,55.397,34.524,8.675,-5.918,18.221,16.053,6.27,1.623,19155.3,0.933,-23.812,5.93,-10.68
213,Argentina,0,2010,-0.382,31.965,-0.804,43.454,33.358,7.75,10.125,17.323,17.706,10.461,1.939,21008.87,0.977,39.539,5.99,13.473
213,Argentina,0,2011,-1.012,32.156,-3.745,38.935,34.902,7.15,6.004,17.387,18.398,9.775,2.35,22469.136,0.999,21.71,5.68,2.368
213,Argentina,0,2012,-0.369,33.803,-3.485,40.436,36.821,7.2,-1.026,16.133,16.502,10.043,2.822,22396.505,0.958,-5.815,6.02,-5.61
213,Argentina,0,2013,-2.147,34.349,-3.966,43.496,37.603,7.075,2.405,15.159,17.306,10.619,3.44,23065.977,0.95,3.576,6.27,-3.807
213,Argentina,0,2014,-1.629,34.601,-3.973,44.697,38.853,7.25,-2.513,15.634,17.263,15.72719956685178,4.743,22627.919,0.895,-10.942,6.63,-7.851
213,Argentina,0,2015,-2.743,35.366,-6.442,52.563,41.366,6.533,2.731,14.328,17.071,21.290284125654097,5.948,23210.096,0.89,2.717,7.35,-1.677
213,Argentina,0,2016,-2.713,34.867,-6.918,53.06,41.522,8.467,-2.08,14.95,17.663,22.16688005575253,8.315,22701.938,0.845,3.498,7.53,6.894
213,Argentina,0,2017,-4.838,34.428,-7.082,57.028,41.121,8.35,2.818,13.374,18.213,25.675,10.293,23514.667,0.837,14.357,7.93,-0.246
213,Argentina,0,2018,-5.164,33.508,-4.653,85.246,38.949,9.2,-2.617,11.449,16.614,34.277,13.527,24498.379,0.828,-6.102,7.42,-0.417
213,Argentina,0,2019,-0.781,33.684,-3.728,89.84,38.129,9.825,-2.001,13.318,14.1,53.548,20.384,23535.013,0.759,-20.977,7.26,12.099
213,Argentina,0,2020,0.698,33.805,-5.291,103.816,42.479,11.55,-9.901,17.296,16.598,42.015,26.887,22302.151,0.727,-10.326,6.88,-12.796
213,Argentina,0,2021,1.363,33.55,-3.915,81.043,37.883,8.75,10.442,19.626,17.875,48.409,38.783,26015.237,0.767,29.658,6.51,12.578
213,Argentina,0,2022,-0.641,33.871,-4.517,84.463,37.715,6.825,5.27,17.16,17.802,72.431,61.499,29068.299,0.78,11.605,6.45,-1.816
213,Argentina,0,2023,-3.246,32.473,-4.907,155.411,37.835,6.125,-1.611,15.559,18.805,133.489,139.722,29335.855,0.743,-2.456,4.272468067926006,-14.38
213,Argentina,0,2024,0.593,31.924,0.512,91.473,32.012,8.15,-3.481,21.151,20.57,229.824,456.715,28704.096,0.696,-17.406,4.549117536681498,20.14
193,Australia,1,1995,-4.958,31.08,-1.986,31.148,33.683,8.483,2.946,20.595,25.198,4.626,1.254,22510.379,1.068,8.793,6.046664894359532,5.423
193,Australia,1,1996,-3.499,32.082,-0.81,29.34,33.538,8.525,3.991,21.425,24.777,2.653,1.256,23563.574,1.07,8.008,6.81,10.51
193,Australia,1,1997,-2.927,32.329,0.122,25.911,32.822,8.367,4.684,21.766,24.758,0.225,1.246,24848.687,1.077,10.434,6.82,11.926
193,Australia,1,1998,-4.908,34.398,0.184,23.699,34.643,7.692,4.703,21.534,26.295,0.859,1.245,26034.572,1.099,7.276,6.49,0.155
193,Australia,1,1999,-5.479,36.884,0.945,22.544,36.218,6.867,4.419,20.556,26.292,1.408,1.238,27258.342,1.109,8.196,6.1,4.642
193,Australia,1,2000,-4.046,36.461,1.318,19.494,35.211,6.292,3.094,21.21,24.946,4.457,1.264,28405.206,1.087,8.036,5.83,11.738
193,Australia,1,2001,-2.249,35.591,0.132,17.107,35.622,6.775,2.606,21.145,23.46,4.407,1.28,29424.446,1.089,-4.651,4.8,3.027
193,Australia,1,2002,-3.799,35.11,0.299,15.012,34.917,6.358,4.162,21.471,25.219,3.049,1.296,30777.881,1.105,10.877,3.69,0.836
193,Australia,1,2003,-5.323,35.957,1.025,13.185,34.906,5.942,3.022,21.464,26.748,2.731,1.31,31972.501,1.098,11.006,3.74,-1.202
193,Australia,1,2004,-6.306,36.158,1.207,11.907,34.835,5.383,4.103,21.007,27.214,2.342,1.32,33806.141,1.087,15.548,3.69,3.864
193,Australia,1,2005,-5.952,36.286,1.603,10.859,34.58,5.033,3.024,21.706,27.834,2.659,1.339,35450.928,1.071,9.361,3.07,3.352
193,Australia,1,2006,-5.876,36.309,1.631,9.938,34.537,4.792,2.628,21.151,27.085,3.554,1.365,36930.167,1.045,8.719,3.38,3.392
193,Australia,1,2007,-6.746,35.779,1.161,9.665,34.304,4.375,4.347,21.251,28.196,2.356,1.388,38847.793,1.037,13.032,3.45,3.308
193,Australia,1,2008,-4.855,33.978,-1.333,11.742,35.078,4.25,2.578,24.008,28.335,4.348,1.447,39747.859,1.035,10.897,3.15,4.663
193,Australia,1,2009,-4.509,33.19,-4.434,16.622,37.753,5.575,1.977,22.161,26.929,1.77,1.444,40056.322,1.063,-9.053,3.67,1.928
193,Australia,1,2010,-3.683,31.833,-4.865,20.349,36.948,5.208,2.424,23.045,26.305,2.863,1.503,40951.336,1.036,16.275,2.8,5.604
193,Australia,1,2011,-2.967,31.781,-4.332,24.039,36.307,5.083,2.781,23.836,26.836,3.356,1.542,42291.726,1.026,10.232,1.77,-0.259
193,Australia,1,2012,-4.344,32.998,-3.752,27.518,36.507,5.233,3.793,23.783,28.442,1.686,1.505,43921.566,1.032,6.569,1.81,5.718
193,Australia,1,2013,-3.364,33.55,-3.296,30.462,36.36,5.658,2.229,23.822,27.079,2.45,1.499,44939.863,1.021,-2.304,1.84,5.83
193,Australia,1,2014,-3.048,33.82,-3.29,34.027,36.737,6.058,2.59,23.253,26.436,2.513,1.477,46227.137,1.013,-1.474,1.91,6.973
193,Australia,1,2015,-4.619,34.461,-3.106,37.709,37.246,6.058,2.353,21.654,25.883,1.485,1.453,47068.446,1.004,2.062,1.9,6.189
193,Australia,1,2016,-3.284,34.84,-2.736,40.588,37.263,5.717,2.72,20.872,24.675,1.277,1.451,48006.646,1.0,0.238,1.18,6.818
193,Australia,1,2017,-2.566,35.02,-1.96,41.149,36.736,5.608,2.417,21.977,24.277,1.995,1.478,49291.76,0.987,7.75,0.89,3.372
193,Australia,1,2018,-2.236,35.562,-1.474,41.696,36.819,5.283,2.828,21.908,24.172,1.933,1.47,51307.076,0.981,4.634,0.86,5.135
193,Australia,1,2019,0.348,34.459,-4.565,46.659,38.864,5.175,1.826,23.061,22.55,1.566,1.459,53598.066,0.981,-1.045,0.77,3.098
193,Australia,1,2020,2.179,35.653,-8.239,56.999,44.372,6.475,-2.102,24.567,22.3,0.912,1.431,53890.665,0.993,-11.839,0.71,-9.646
193,Australia,1,2021,2.89,35.343,-6.248,55.45,41.696,5.125,5.479,26.19,23.313,2.798,1.417,60422.561,1.002,4.815,0.81,-2.443
193,Australia,1,2022,0.867,35.375,-2.808,50.263,37.562,3.725,3.915,24.766,23.722,6.615,1.431,65873.491,1.006,13.472,0.99,2.573
193,Australia,1,2023,0.252,36.343,-1.745,49.009,37.2,3.692,1.959,24.155,23.981,5.616,1.43,67900.529,0.994,6.446,-1.430908974403465,6.719
193,Australia,1,2024,-0.875,36.352,-2.468,49.333,38.014,4.15,1.231,23.263,24.149,3.315,1.435,69475.413,0.975,5.125,-1.690872767182551,2.075
122,Austria,1,1995,-2.86,49.681,-5.754,67.865,55.821,4.242,2.668,23.979,26.768,1.611,0.821,27047.417,0.563,5.905,2.830898343929781,7.205
122,Austria,1,1996,-2.838,51.272,-3.995,67.807,55.629,4.717,2.398,23.499,26.338,1.771,0.814,28165.126,0.556,8.642,2.7898199058800195,9.979
122,Austria,1,1997,-2.546,49.904,-2.649,63.056,52.276,4.758,2.094,23.668,26.214,1.167,0.811,29217.495,0.545,7.27,2.751235755917998,11.028
122,Austria,1,1998,-1.852,51.385,-2.959,68.819,54.054,4.708,3.581,24.253,26.106,0.817,0.805,30570.5,0.55,5.758,2.6965466118439743,7.852
122,Austria,1,1999,-2.261,47.687,-3.237,61.103,50.305,4.142,3.556,23.857,26.118,0.516,0.796,32043.264,0.551,4.064,2.641918671405807,6.434
122,Austria,1,2000,-0.706,48.591,-3.828,65.738,50.654,3.883,3.376,25.221,25.927,1.956,0.789,33793.936,0.541,10.186,2.41,13.525
122,Austria,1,2001,-0.796,50.694,-1.589,66.729,51.355,4.008,1.267,24.365,25.161,2.302,0.787,34859.031,0.535,5.192,3.37,5.771
122,Austria,1,2002,2.102,49.673,-1.519,66.728,51.054,4.392,1.652,25.745,23.643,1.681,0.783,35808.067,0.53,0.291,2.45,4.286
122,Austria,1,2003,1.548,49.485,-0.791,65.853,51.271,4.792,0.941,25.957,24.409,1.302,0.778,36694.771,0.516,3.507,2.52,0.531
122,Austria,1,2004,2.076,48.9,-1.856,65.189,53.705,5.867,2.735,26.137,24.061,1.964,0.771,38469.466,0.504,7.975,2.24,8.661
122,Austria,1,2005,2.258,48.647,-2.199,68.642,51.155,6.025,2.244,26.084,23.825,2.102,0.767,40290.758,0.493,5.455,2.46,6.665
122,Austria,1,2006,3.295,47.844,-3.016,67.309,50.38,5.592,3.454,26.905,23.61,1.686,0.758,42746.121,0.485,5.855,2.3,7.576
122,Austria,1,2007,3.802,47.859,-2.591,65.031,49.245,5.2,3.727,28.387,24.584,2.2,0.754,45391.159,0.478,5.635,2.24,7.572
122,Austria,1,2008,4.49,48.379,-2.628,68.698,49.874,4.442,1.46,28.957,24.467,3.23,0.754,46792.628,0.472,0.954,1.72,2.171
122,Austria,1,2009,2.596,48.815,-3.717,79.854,54.145,5.675,-3.765,25.372,22.775,0.406,0.764,45200.459,0.457,-11.899,1.85,-14.368
122,Austria,1,2010,2.855,48.399,-3.854,82.697,52.84,5.208,1.837,25.463,22.608,1.691,0.761,46481.15,0.443,11.97,2.13,13.131
122,Austria,1,2011,1.631,48.344,-2.886,82.445,50.897,4.883,2.923,25.771,24.141,3.542,0.76,48666.894,0.44,5.954,1.59,5.935
122,Austria,1,2012,1.483,49.024,-2.128,81.92,51.213,5.233,0.68,25.46,23.977,2.569,0.761,49686.59,0.429,0.924,1.46,1.438
122,Austria,1,2013,1.943,49.698,-1.99,81.266,51.648,5.35,0.026,25.666,23.723,2.118,0.761,50241.569,0.416,0.694,1.49,0.641
122,Austria,1,2014,2.474,49.702,-0.774,84.048,52.431,6.042,0.661,26.006,23.532,1.465,0.764,51052.937,0.404,2.957,2.03,2.888
122,Austria,1,2015,1.725,50.122,0.044,84.894,51.131,6.158,1.015,25.531,23.806,0.81,0.774,51533.26,0.395,3.63,2.02,3.049
122,Austria,1,2016,2.724,48.537,-1.187,82.84,50.071,6.475,1.989,26.981,24.256,0.972,0.781,52388.368,0.391,3.726,2.09,2.988
122,Austria,1,2017,1.374,48.483,-0.868,78.501,49.299,5.925,2.259,26.213,24.838,2.228,0.775,54068.015,0.385,5.289,1.96,4.898
122,Austria,1,2018,0.905,48.928,-0.306,74.083,48.758,5.225,2.425,26.631,25.726,2.122,0.765,56655.538,0.383,5.348,1.83,5.198
122,Austria,1,2019,2.385,49.242,0.227,70.639,48.674,4.808,1.451,27.734,25.349,1.495,0.738,60719.04,0.386,2.248,1.84,4.06
122,Austria,1,2020,3.442,48.815,-6.924,82.948,56.806,5.475,-6.633,29.069,25.627,1.391,0.729,58715.289,0.376,-10.02,1.48,-10.57
122,Austria,1,2021,1.646,50.412,-4.598,82.49,56.182,6.167,4.238,29.306,27.66,2.756,0.713,63590.151,0.365,14.328,1.39,9.127
122,Austria,1,2022,-0.291,49.692,-4.101,78.406,52.965,4.733,4.806,27.254,27.545,8.614,0.701,71029.961,0.37,7.879,1.33,11.187
122,Austria,1,2023,2.661,49.332,-2.523,77.545,51.979,5.1,-0.793,27.737,25.076,7.71,0.73,71988.371,0.356,-2.324,1.1063792937309365,-0.246
122,Austria,1,2024,2.609,50.005,-2.509,78.734,53.373,5.597,-0.588,26.493,23.884,3.043,0.737,73050.854,0.343,-0.648,1.065534106578033,-1.037
316,Barbados,0,1995,2.479,24.398,6.364,54.921,18.283,19.625,2.023,15.598,13.119,2.838,1.76,10069.715,0.007,15.969,23.975641877604183,2.344
316,Barbados,0,1996,3.52,23.847,3.836,55.285,20.147,15.75,3.966,16.607,13.087,2.386,1.781,10621.381,0.007,0.754,22.93,7.441
316,Barbados,0,1997,-1.329,26.14,5.726,54.904,20.695,14.55,4.74,15.205,16.534,7.711,1.772,11274.165,0.007,21.085,22.71813878184978,6.928
316,Barbados,0,1998,-2.807,24.717,6.593,49.909,18.765,12.15,3.74,16.698,19.505,-1.269,1.936,11782.971,0.007,10.897,21.93627980962833,4.079
316,Barbados,0,1999,-4.241,24.876,5.849,49.71,19.525,10.35,0.326,15.741,19.982,1.56,1.999,11945.311,0.007,1.617,22.77,6.023
316,Barbados,0,2000,-3.376,25.754,5.236,56.631,20.81,9.35,4.453,15.226,18.602,2.436,1.93,12716.139,0.007,-7.274,21.01,6.832
316,Barbados,0,2001,-3.448,25.926,4.085,62.339,21.877,9.85,-2.367,12.659,16.107,2.801,1.93,12655.345,0.007,0.72,20.34,-2.449
