WEO_Country_Code,WEO_Subject_Code,Country_Series-Specific_Notes,Estimates_Start_After
512,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2024
914,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
612,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
171,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
614,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
311,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
213,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
911,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
314,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
193,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
122,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
912,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
313,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
419,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
513,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
316,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
913,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
124,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
339,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
638,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
514,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
218,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
963,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
616,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
223,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
516,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
918,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
748,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
618,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
624,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
522,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
622,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
156,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
626,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2021
628,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
228,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
924,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
233,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
632,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
636,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2020
634,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2021
238,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
662,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
960,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
423,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
935,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
128,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
611,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2021
321,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
243,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
248,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
469,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
253,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
642,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
643,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2019
939,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
734,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
644,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
819,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
172,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
132,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
646,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
648,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
915,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
134,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
652,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
174,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
328,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
258,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
656,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2021
654,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
336,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
263,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
268,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
532,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
944,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
176,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
534,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2024
536,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
429,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2024
433,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
178,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
436,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
136,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
343,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
158,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
439,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
916,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
664,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
826,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
542,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
967,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
443,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
917,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
544,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
941,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
446,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2021
666,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
668,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
672,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
946,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
137,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
546,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
674,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
676,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
548,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
556,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
678,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
181,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
867,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
682,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
684,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
273,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
868,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
921,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
948,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
943,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
686,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
688,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
518,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2021
728,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
836,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2021
558,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
138,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
196,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
278,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
692,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
694,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
962,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
142,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
449,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
564,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2024
565,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
283,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
853,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
288,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
293,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
566,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
964,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
182,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
359,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
453,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
968,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
922,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
714,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
862,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
135,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
716,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
456,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
722,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
942,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
718,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
724,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
576,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
936,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
961,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
813,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
726,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
199,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
733,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
184,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2023
524,NGDP_RPCH,"See notes for:  Gross domestic product, constant prices (National currency).",2022
