WEO_Country_Code,WEO_Subject_Code,Year,Value
512,NGDP_RPCH,1980,
914,NGDP_RPCH,1980,2.684
612,NGDP_RPCH,1980,-5.4
171,NGDP_RPCH,1980,
614,NGDP_RPCH,1980,2.406
311,NGDP_RPCH,1980,8.161
213,NGDP_RPCH,1980,0.7
911,NGDP_RPCH,1980,
314,NGDP_RPCH,1980,
193,NGDP_RPCH,1980,2.894
122,NGDP_RPCH,1980,2.314
912,NGDP_RPCH,1980,
313,NGDP_RPCH,1980,7.1
419,NGDP_RPCH,1980,7.494
513,NGDP_RPCH,1980,
316,NGDP_RPCH,1980,4.371
913,NGDP_RPCH,1980,
124,NGDP_RPCH,1980,4.444
339,NGDP_RPCH,1980,5.013
638,NGDP_RPCH,1980,9.255
514,NGDP_RPCH,1980,4.995
218,NGDP_RPCH,1980,0.61
963,NGDP_RPCH,1980,
616,NGDP_RPCH,1980,12.02
223,NGDP_RPCH,1980,9.19
516,NGDP_RPCH,1980,
918,NGDP_RPCH,1980,5.7
748,NGDP_RPCH,1980,4.035
618,NGDP_RPCH,1980,-6.825
624,NGDP_RPCH,1980,5.263
522,NGDP_RPCH,1980,
622,NGDP_RPCH,1980,9.9
156,NGDP_RPCH,1980,2.163
626,NGDP_RPCH,1980,-2.995
628,NGDP_RPCH,1980,-6.008
228,NGDP_RPCH,1980,7.945
924,NGDP_RPCH,1980,7.91
233,NGDP_RPCH,1980,4.429
632,NGDP_RPCH,1980,7.383
636,NGDP_RPCH,1980,2.405
634,NGDP_RPCH,1980,12.678
238,NGDP_RPCH,1980,0.752
662,NGDP_RPCH,1980,5.196
960,NGDP_RPCH,1980,
423,NGDP_RPCH,1980,5.92
935,NGDP_RPCH,1980,
128,NGDP_RPCH,1980,-0.744
611,NGDP_RPCH,1980,
321,NGDP_RPCH,1980,13.383
243,NGDP_RPCH,1980,7.969
248,NGDP_RPCH,1980,4.9
469,NGDP_RPCH,1980,3.409
253,NGDP_RPCH,1980,-8.625
642,NGDP_RPCH,1980,4.839
643,NGDP_RPCH,1980,
939,NGDP_RPCH,1980,
734,NGDP_RPCH,1980,-3.811
644,NGDP_RPCH,1980,3.997
819,NGDP_RPCH,1980,-1.694
172,NGDP_RPCH,1980,5.673
132,NGDP_RPCH,1980,1.809
646,NGDP_RPCH,1980,
648,NGDP_RPCH,1980,0.705
915,NGDP_RPCH,1980,
134,NGDP_RPCH,1980,1.272
652,NGDP_RPCH,1980,0.453
174,NGDP_RPCH,1980,0.679
328,NGDP_RPCH,1980,15.067
258,NGDP_RPCH,1980,3.7
656,NGDP_RPCH,1980,2.601
