WEO_Country_Code,WEO_Country_Group_Code,Value
512,110,0
914,110,0
612,110,0
171,110,1
614,110,0
311,110,0
213,110,0
911,110,0
314,110,0
193,110,1
122,110,1
912,110,0
313,110,0
419,110,0
513,110,0
316,110,0
913,110,0
124,110,1
339,110,0
638,110,0
514,110,0
218,110,0
963,110,0
616,110,0
223,110,0
516,110,0
918,110,0
748,110,0
618,110,0
624,110,0
522,110,0
622,110,0
156,110,1
626,110,0
628,110,0
228,110,0
924,110,0
233,110,0
632,110,0
636,110,0
634,110,0
238,110,0
662,110,0
960,110,1
423,110,1
935,110,1
128,110,1
611,110,0
321,110,0
243,110,0
248,110,0
469,110,0
253,110,0
642,110,0
643,110,0
939,110,1
734,110,0
644,110,0
819,110,0
172,110,1
132,110,1
646,110,0
648,110,0
915,110,0
134,110,1
652,110,0
174,110,1
328,110,0
258,110,0
656,110,0
654,110,0
336,110,0
263,110,0
268,110,0
532,110,1
944,110,0
176,110,1
534,110,0
536,110,0
429,110,0
433,110,0
178,110,1
436,110,1
136,110,1
343,110,0
158,110,1
439,110,0
916,110,0
664,110,0
826,110,0
542,110,1
967,110,0
443,110,0
917,110,0
544,110,0
941,110,1
446,110,0
666,110,0
668,110,0
672,110,0
946,110,1
137,110,1
546,110,1
674,110,0
676,110,0
548,110,0
556,110,0
678,110,0
181,110,1
867,110,0
682,110,0
684,110,0
273,110,0
868,110,0
921,110,0
948,110,0
943,110,0
686,110,0
688,110,0
518,110,0
728,110,0
836,110,0
558,110,0
138,110,1
196,110,1
278,110,0
692,110,0
694,110,0
962,110,0
142,110,1
449,110,0
564,110,0
565,110,0
283,110,0
853,110,0
288,110,0
293,110,0
566,110,0
964,110,0
182,110,1
359,110,1
453,110,0
968,110,0
922,110,0
714,110,0
862,110,0
135,110,1
716,110,0
456,110,0
722,110,0
942,110,0
718,110,0
724,110,0
576,110,1
936,110,1
961,110,1
813,110,0
726,110,0
199,110,0
733,110,0
184,110,1
524,110,0
361,110,0
362,110,0
364,110,0
732,110,0
366,110,0
144,110,1
146,110,1
463,110,0
528,110,1
923,110,0
738,110,0
578,110,0
537,110,0
742,110,0
866,110,0
369,110,0
744,110,0
186,110,0
925,110,0
869,110,0
746,110,0
926,110,0
466,110,0
112,110,1
111,110,1
298,110,0
927,110,0
846,110,0
299,110,0
582,110,0
487,110,0
474,110,0
754,110,0
698,110,0
512,163,0
914,163,0
612,163,0
171,163,0
614,163,0
311,163,0
213,163,0
911,163,0
314,163,0
193,163,0
122,163,1
912,163,0
313,163,0
419,163,0
513,163,0
316,163,0
913,163,0
124,163,1
339,163,0
638,163,0
514,163,0
218,163,0
963,163,0
616,163,0
223,163,0
516,163,0
918,163,0
748,163,0
618,163,0
624,163,0
522,163,0
622,163,0
156,163,0
626,163,0
628,163,0
228,163,0
924,163,0
233,163,0
632,163,0
636,163,0
634,163,0
238,163,0
662,163,0
960,163,1
423,163,1
935,163,0
128,163,0
611,163,0
321,163,0
243,163,0
248,163,0
469,163,0
253,163,0
642,163,0
643,163,0
939,163,1
734,163,0
644,163,0
819,163,0
172,163,1
132,163,1
646,163,0
648,163,0
915,163,0
134,163,1
652,163,0
174,163,1
328,163,0
258,163,0
656,163,0
654,163,0
336,163,0
263,163,0
268,163,0
532,163,0
944,163,0
176,163,0
534,163,0
536,163,0
429,163,0
433,163,0
178,163,1
436,163,0
136,163,1
343,163,0
158,163,0
439,163,0
916,163,0
664,163,0
826,163,0
542,163,0
967,163,0
443,163,0
917,163,0
544,163,0
941,163,1
446,163,0
666,163,0
668,163,0
672,163,0
946,163,1
137,163,1
546,163,0
674,163,0
676,163,0
548,163,0
556,163,0
678,163,0
181,163,1
867,163,0
682,163,0
684,163,0
273,163,0
868,163,0
921,163,0
948,163,0
943,163,0
686,163,0
688,163,0
518,163,0
728,163,0
836,163,0
558,163,0
138,163,1
196,163,0
278,163,0
692,163,0
694,163,0
962,163,0
142,163,0
449,163,0
564,163,0
565,163,0
283,163,0
853,163,0
288,163,0
293,163,0
566,163,0
964,163,0
182,163,1
359,163,0
453,163,0
968,163,0
922,163,0
714,163,0
862,163,0
135,163,0
716,163,0
456,163,0
722,163,0
942,163,0
718,163,0
724,163,0
576,163,0
936,163,1
961,163,1
813,163,0
726,163,0
199,163,0
733,163,0
184,163,1
524,163,0
361,163,0
362,163,0
364,163,0
732,163,0
366,163,0
144,163,0
146,163,0
463,163,0
528,163,0
923,163,0
738,163,0
578,163,0
537,163,0
742,163,0
866,163,0
369,163,0
744,163,0
186,163,0
925,163,0
869,163,0
746,163,0
926,163,0
466,163,0
112,163,0
111,163,0
298,163,0
927,163,0
846,163,0
299,163,0
582,163,0
487,163,0
474,163,0
754,163,0
698,163,0
512,119,0
914,119,0
612,119,0
171,119,0
614,119,0
311,119,0
213,119,0
911,119,0
314,119,0
193,119,0
122,119,0
912,119,0
313,119,0
419,119,0
513,119,0
316,119,0
913,119,0
124,119,0
339,119,0
638,119,0
514,119,0
218,119,0
963,119,0
616,119,0
223,119,0
516,119,0
918,119,0
748,119,0
618,119,0
624,119,0
522,119,0
622,119,0
156,119,1
626,119,0
628,119,0
228,119,0
924,119,0
233,119,0
632,119,0
636,119,0
634,119,0
238,119,0
662,119,0
960,119,0
423,119,0
935,119,0
128,119,0
611,119,0
321,119,0
243,119,0
248,119,0
469,119,0
253,119,0
642,119,0
643,119,0
939,119,0
734,119,0
644,119,0
819,119,0
172,119,0
132,119,1
646,119,0
648,119,0
915,119,0
134,119,1
652,119,0
174,119,0
328,119,0
258,119,0
656,119,0
654,119,0
336,119,0
263,119,0
268,119,0
532,119,0
944,119,0
176,119,0
534,119,0
536,119,0
429,119,0
433,119,0
178,119,0
436,119,0
136,119,1
343,119,0
158,119,1
439,119,0
916,119,0
664,119,0
826,119,0
542,119,0
967,119,0
443,119,0
917,119,0
544,119,0
941,119,0
446,119,0
666,119,0
668,119,0
672,119,0
946,119,0
137,119,0
546,119,0
674,119,0
676,119,0
548,119,0
556,119,0
678,119,0
181,119,0
867,119,0
682,119,0
684,119,0
273,119,0
868,119,0
921,119,0
948,119,0
943,119,0
686,119,0
688,119,0
518,119,0
728,119,0
836,119,0
558,119,0
138,119,0
196,119,0
278,119,0
692,119,0
694,119,0
962,119,0
142,119,0
449,119,0
564,119,0
565,119,0
283,119,0
853,119,0
288,119,0
293,119,0
566,119,0
964,119,0
182,119,0
359,119,0
453,119,0
968,119,0
922,119,0
714,119,0
862,119,0
135,119,0
716,119,0
456,119,0
722,119,0
942,119,0
718,119,0
724,119,0
576,119,0
936,119,0
961,119,0
813,119,0
726,119,0
199,119,0
733,119,0
184,119,0
524,119,0
361,119,0
362,119,0
364,119,0
732,119,0
366,119,0
144,119,0
146,119,0
463,119,0
528,119,0
923,119,0
738,119,0
578,119,0
537,119,0
742,119,0
866,119,0
369,119,0
744,119,0
186,119,0
925,119,0
869,119,0
746,119,0
926,119,0
466,119,0
112,119,1
111,119,1
298,119,0
927,119,0
846,119,0
299,119,0
582,119,0
487,119,0
474,119,0
754,119,0
698,119,0
512,200,1
914,200,1
612,200,1
171,200,0
614,200,1
311,200,1
213,200,1
911,200,1
314,200,1
193,200,0
122,200,0
912,200,1
313,200,1
419,200,1
513,200,1
316,200,1
913,200,1
124,200,0
339,200,1
638,200,1
514,200,1
218,200,1
963,200,1
616,200,1
223,200,1
516,200,1
918,200,1
748,200,1
618,200,1
624,200,1
522,200,1
622,200,1
156,200,0
626,200,1
628,200,1
228,200,1
924,200,1
233,200,1
632,200,1
636,200,1
634,200,1
238,200,1
662,200,1
960,200,0
423,200,0
