WEO_Country_Code,Country,WEO_Country_Group_Code,Country_Group_Id,Value
512,Afghanistan,110,all_advanced_41,0
914,Albania,110,all_advanced_41,0
612,Algeria,110,all_advanced_41,0
171,Andorra,110,all_advanced_41,1
614,Angola,110,all_advanced_41,0
311,Antigua and Barbuda,110,all_advanced_41,0
213,Argentina,110,all_advanced_41,0
911,Armenia,110,all_advanced_41,0
314,Aruba,110,all_advanced_41,0
193,Australia,110,all_advanced_41,1
122,Austria,110,all_advanced_41,1
912,Azerbaijan,110,all_advanced_41,0
313,The Bahamas,110,all_advanced_41,0
419,Bahrain,110,all_advanced_41,0
513,Bangladesh,110,all_advanced_41,0
316,Barbados,110,all_advanced_41,0
913,Belarus,110,all_advanced_41,0
124,Belgium,110,all_advanced_41,1
339,Belize,110,all_advanced_41,0
638,Benin,110,all_advanced_41,0
514,Bhutan,110,all_advanced_41,0
218,Bolivia,110,all_advanced_41,0
963,Bosnia and Herzegovina,110,all_advanced_41,0
616,Botswana,110,all_advanced_41,0
223,Brazil,110,all_advanced_41,0
516,Brunei Darussalam,110,all_advanced_41,0
918,Bulgaria,110,all_advanced_41,0
748,Burkina Faso,110,all_advanced_41,0
618,Burundi,110,all_advanced_41,0
624,Cabo Verde,110,all_advanced_41,0
522,Cambodia,110,all_advanced_41,0
622,Cameroon,110,all_advanced_41,0
156,Canada,110,all_advanced_41,1
626,Central African Republic,110,all_advanced_41,0
628,Chad,110,all_advanced_41,0
228,Chile,110,all_advanced_41,0
924,China,110,all_advanced_41,0
233,Colombia,110,all_advanced_41,0
632,Comoros,110,all_advanced_41,0
636,Democratic Republic of the Congo,110,all_advanced_41,0
634,Republic of Congo,110,all_advanced_41,0
238,Costa Rica,110,all_advanced_41,0
662,Côte d'Ivoire,110,all_advanced_41,0
960,Croatia,110,all_advanced_41,1
423,Cyprus,110,all_advanced_41,1
935,Czech Republic,110,all_advanced_41,1
128,Denmark,110,all_advanced_41,1
611,Djibouti,110,all_advanced_41,0
321,Dominica,110,all_advanced_41,0
243,Dominican Republic,110,all_advanced_41,0
248,Ecuador,110,all_advanced_41,0
469,Egypt,110,all_advanced_41,0
253,El Salvador,110,all_advanced_41,0
642,Equatorial Guinea,110,all_advanced_41,0
643,Eritrea,110,all_advanced_41,0
939,Estonia,110,all_advanced_41,1
734,Eswatini,110,all_advanced_41,0
644,Ethiopia,110,all_advanced_41,0
819,Fiji,110,all_advanced_41,0
172,Finland,110,all_advanced_41,1
132,France,110,all_advanced_41,1
646,Gabon,110,all_advanced_41,0
648,The Gambia,110,all_advanced_41,0
915,Georgia,110,all_advanced_41,0
134,Germany,110,all_advanced_41,1
652,Ghana,110,all_advanced_41,0
174,Greece,110,all_advanced_41,1
328,Grenada,110,all_advanced_41,0
258,Guatemala,110,all_advanced_41,0
656,Guinea,110,all_advanced_41,0
654,Guinea-Bissau,110,all_advanced_41,0
336,Guyana,110,all_advanced_41,0
263,Haiti,110,all_advanced_41,0
268,Honduras,110,all_advanced_41,0
532,Hong Kong SAR,110,all_advanced_41,1
944,Hungary,110,all_advanced_41,0
176,Iceland,110,all_advanced_41,1
534,India,110,all_advanced_41,0
536,Indonesia,110,all_advanced_41,0
429,Islamic Republic of Iran,110,all_advanced_41,0
433,Iraq,110,all_advanced_41,0
178,Ireland,110,all_advanced_41,1
136,Italy,110,all_advanced_41,1
343,Jamaica,110,all_advanced_41,0
158,Japan,110,all_advanced_41,1
439,Jordan,110,all_advanced_41,0
916,Kazakhstan,110,all_advanced_41,0
664,Kenya,110,all_advanced_41,0
826,Kiribati,110,all_advanced_41,0
542,Korea,110,all_advanced_41,1
967,Kosovo,110,all_advanced_41,0
443,Kuwait,110,all_advanced_41,0
917,Kyrgyz Republic,110,all_advanced_41,0
544,Lao P.D.R.,110,all_advanced_41,0
941,Latvia,110,all_advanced_41,1
446,Lebanon,110,all_advanced_41,0
666,Lesotho,110,all_advanced_41,0
668,Liberia,110,all_advanced_41,0
672,Libya,110,all_advanced_41,0
946,Lithuania,110,all_advanced_41,1
137,Luxembourg,110,all_advanced_41,1
546,Macao SAR,110,all_advanced_41,1
674,Madagascar,110,all_advanced_41,0
676,Malawi,110,all_advanced_41,0
548,Malaysia,110,all_advanced_41,0
556,Maldives,110,all_advanced_41,0
678,Mali,110,all_advanced_41,0
181,Malta,110,all_advanced_41,1
867,Marshall Islands,110,all_advanced_41,0
682,Mauritania,110,all_advanced_41,0
684,Mauritius,110,all_advanced_41,0
273,Mexico,110,all_advanced_41,0
868,Micronesia,110,all_advanced_41,0
921,Moldova,110,all_advanced_41,0
948,Mongolia,110,all_advanced_41,0
943,Montenegro,110,all_advanced_41,0
686,Morocco,110,all_advanced_41,0
688,Mozambique,110,all_advanced_41,0
518,Myanmar,110,all_advanced_41,0
728,Namibia,110,all_advanced_41,0
836,Nauru,110,all_advanced_41,0
558,Nepal,110,all_advanced_41,0
138,Netherlands,110,all_advanced_41,1
196,New Zealand,110,all_advanced_41,1
278,Nicaragua,110,all_advanced_41,0
692,Niger,110,all_advanced_41,0
694,Nigeria,110,all_advanced_41,0
962,North Macedonia,110,all_advanced_41,0
142,Norway,110,all_advanced_41,1
449,Oman,110,all_advanced_41,0
564,Pakistan,110,all_advanced_41,0
565,Palau,110,all_advanced_41,0
283,Panama,110,all_advanced_41,0
853,Papua New Guinea,110,all_advanced_41,0
288,Paraguay,110,all_advanced_41,0
293,Peru,110,all_advanced_41,0
566,Philippines,110,all_advanced_41,0
964,Poland,110,all_advanced_41,0
182,Portugal,110,all_advanced_41,1
359,Puerto Rico,110,all_advanced_41,1
453,Qatar,110,all_advanced_41,0
968,Romania,110,all_advanced_41,0
922,Russia,110,all_advanced_41,0
714,Rwanda,110,all_advanced_41,0
862,Samoa,110,all_advanced_41,0
135,San Marino,110,all_advanced_41,1
716,São Tomé and Príncipe,110,all_advanced_41,0
456,Saudi Arabia,110,all_advanced_41,0
722,Senegal,110,all_advanced_41,0
942,Serbia,110,all_advanced_41,0
718,Seychelles,110,all_advanced_41,0
724,Sierra Leone,110,all_advanced_41,0
576,Singapore,110,all_advanced_41,1
936,Slovak Republic,110,all_advanced_41,1
961,Slovenia,110,all_advanced_41,1
813,Solomon Islands,110,all_advanced_41,0
726,Somalia,110,all_advanced_41,0
199,South Africa,110,all_advanced_41,0
733,South Sudan,110,all_advanced_41,0
184,Spain,110,all_advanced_41,1
524,Sri Lanka,110,all_advanced_41,0
361,St. Kitts and Nevis,110,all_advanced_41,0
362,St. Lucia,110,all_advanced_41,0
364,St. Vincent and the Grenadines,110,all_advanced_41,0
732,Sudan,110,all_advanced_41,0
366,Suriname,110,all_advanced_41,0
144,Sweden,110,all_advanced_41,1
146,Switzerland,110,all_advanced_41,1
463,Syria,110,all_advanced_41,0
528,Taiwan Province of China,110,all_advanced_41,1
923,Tajikistan,110,all_advanced_41,0
738,Tanzania,110,all_advanced_41,0
578,Thailand,110,all_advanced_41,0
537,Timor-Leste,110,all_advanced_41,0
742,Togo,110,all_advanced_41,0
866,Tonga,110,all_advanced_41,0
369,Trinidad and Tobago,110,all_advanced_41,0
744,Tunisia,110,all_advanced_41,0
186,Türkiye,110,all_advanced_41,0
925,Turkmenistan,110,all_advanced_41,0
869,Tuvalu,110,all_advanced_41,0
746,Uganda,110,all_advanced_41,0
926,Ukraine,110,all_advanced_41,0
466,United Arab Emirates,110,all_advanced_41,0
112,United Kingdom,110,all_advanced_41,1
111,United States,110,all_advanced_41,1
298,Uruguay,110,all_advanced_41,0
927,Uzbekistan,110,all_advanced_41,0
846,Vanuatu,110,all_advanced_41,0
299,Venezuela,110,all_advanced_41,0
582,Vietnam,110,all_advanced_41,0
487,West Bank and Gaza,110,all_advanced_41,0
474,Yemen,110,all_advanced_41,0
754,Zambia,110,all_advanced_41,0
698,Zimbabwe,110,all_advanced_41,0
512,Afghanistan,163,all_advanced_euro_20,0
914,Albania,163,all_advanced_euro_20,0
612,Algeria,163,all_advanced_euro_20,0
171,Andorra,163,all_advanced_euro_20,0
614,Angola,163,all_advanced_euro_20,0
311,Antigua and Barbuda,163,all_advanced_euro_20,0
213,Argentina,163,all_advanced_euro_20,0
911,Armenia,163,all_advanced_euro_20,0
314,Aruba,163,all_advanced_euro_20,0
193,Australia,163,all_advanced_euro_20,0
122,Austria,163,all_advanced_euro_20,1
912,Azerbaijan,163,all_advanced_euro_20,0
313,The Bahamas,163,all_advanced_euro_20,0
419,Bahrain,163,all_advanced_euro_20,0
513,Bangladesh,163,all_advanced_euro_20,0
316,Barbados,163,all_advanced_euro_20,0
913,Belarus,163,all_advanced_euro_20,0
124,Belgium,163,all_advanced_euro_20,1
339,Belize,163,all_advanced_euro_20,0
638,Benin,163,all_advanced_euro_20,0
