WEO_Country_Group_Code,WEO_Subject_Code,Year,Value
1,BCA_NGDPD,1980,
110,BCA_NGDPD,1980,-1.078
163,BCA_NGDPD,1980,
119,BCA_NGDPD,1980,-0.676
123,BCA_NGDPD,1980,
998,BCA_NGDPD,1980,-2.222
510,BCA_NGDPD,1980,-1.418
200,BCA_NGDPD,1980,0.585
505,BCA_NGDPD,1980,
903,BCA_NGDPD,1980,-3.452
205,BCA_NGDPD,1980,-3.347
400,BCA_NGDPD,1980,11.755
603,BCA_NGDPD,1980,-1.155
1,GGR_NGDP,1980,
110,GGR_NGDP,1980,
163,GGR_NGDP,1980,
119,GGR_NGDP,1980,
123,GGR_NGDP,1980,
998,GGR_NGDP,1980,
510,GGR_NGDP,1980,
200,GGR_NGDP,1980,
505,GGR_NGDP,1980,
903,GGR_NGDP,1980,
205,GGR_NGDP,1980,
400,GGR_NGDP,1980,
603,GGR_NGDP,1980,
1,GGSB_NPGDP,1980,
110,GGSB_NPGDP,1980,
163,GGSB_NPGDP,1980,
119,GGSB_NPGDP,1980,
123,GGSB_NPGDP,1980,
998,GGSB_NPGDP,1980,
510,GGSB_NPGDP,1980,
200,GGSB_NPGDP,1980,
505,GGSB_NPGDP,1980,
903,GGSB_NPGDP,1980,
205,GGSB_NPGDP,1980,
400,GGSB_NPGDP,1980,
603,GGSB_NPGDP,1980,
1,GGX_NGDP,1980,
110,GGX_NGDP,1980,
163,GGX_NGDP,1980,
119,GGX_NGDP,1980,
123,GGX_NGDP,1980,
998,GGX_NGDP,1980,
510,GGX_NGDP,1980,
200,GGX_NGDP,1980,
505,GGX_NGDP,1980,
903,GGX_NGDP,1980,
205,GGX_NGDP,1980,
400,GGX_NGDP,1980,
603,GGX_NGDP,1980,
1,GGXWDG_NGDP,1980,
110,GGXWDG_NGDP,1980,
163,GGXWDG_NGDP,1980,
119,GGXWDG_NGDP,1980,
123,GGXWDG_NGDP,1980,
998,GGXWDG_NGDP,1980,
510,GGXWDG_NGDP,1980,
200,GGXWDG_NGDP,1980,
505,GGXWDG_NGDP,1980,
903,GGXWDG_NGDP,1980,
205,GGXWDG_NGDP,1980,
400,GGXWDG_NGDP,1980,
603,GGXWDG_NGDP,1980,
1,LUR,1980,
110,LUR,1980,5.59
163,LUR,1980,
119,LUR,1980,5.625
123,LUR,1980,4.177
998,LUR,1980,
510,LUR,1980,
200,LUR,1980,
505,LUR,1980,
903,LUR,1980,
205,LUR,1980,
400,LUR,1980,
603,LUR,1980,
1,NGDP_RPCH,1980,2.228
110,NGDP_RPCH,1980,1.32
163,NGDP_RPCH,1980,
119,NGDP_RPCH,1980,0.927
123,NGDP_RPCH,1980,3.644
998,NGDP_RPCH,1980,1.796
510,NGDP_RPCH,1980,7.557
200,NGDP_RPCH,1980,3.879
505,NGDP_RPCH,1980,6.847
903,NGDP_RPCH,1980,-0.842
205,NGDP_RPCH,1980,6.301
400,NGDP_RPCH,1980,-0.78
603,NGDP_RPCH,1980,
1,NGSD_NGDP,1980,23.746
110,NGSD_NGDP,1980,23.491
163,NGSD_NGDP,1980,
119,NGSD_NGDP,1980,23.358
