WEO_Country_Code,Country,Advanced_Country,Year,BCA_NGDPD,GGR_NGDP,GGSB_NPGDP,GGXWDG_NGDP,GGX_NGDP,LUR,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPIPCH,PPPEX,PPPPC,PPPSH,TM_RPCH,TRWMA,TX_RPCH
469,Egypt,0,1980,-0.822,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,3.409,15.676,33.994,20.5,0.187,2170.144,0.665,10.013,11.124180299001607,13.118
469,Egypt,0,1981,-4.332,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,2.198,13.379,33.368,10.4,0.183,2360.617,0.666,2.505,11.124180299001607,-10.178
469,Egypt,0,1982,-6.836,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,7.296,12.436,33.845,14.9,0.19,2617.817,0.711,2.926,11.124180299001607,8.354
469,Egypt,0,1983,-3.974,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,8.876,12.967,28.791,15.982,0.205,2883.125,0.755,3.118,11.124180299001607,1.987
469,Egypt,0,1984,-8.101,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,8.021,10.224,26.775,17.06,0.206,3139.622,0.78,7.937,11.124180299001607,1.527
469,Egypt,0,1985,-4.568,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,7.425,9.58,24.864,12.108,0.217,3381.628,0.809,4.838,11.124180299001607,-2.937
469,Egypt,0,1986,-2.759,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,4.759,8.089,22.614,23.9,0.225,3522.618,0.821,0.807,11.124180299001607,0.627
469,Egypt,0,1987,-1.299,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,4.273,19.021,24.746,25.185,0.301,3683.234,0.824,-4.583,11.124180299001607,15.447
469,Egypt,0,1988,-2.146,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,3.994,18.99,33.271,15.185,0.335,3885.787,0.821,16.162,11.124180299001607,-10.517
469,Egypt,0,1989,-2.173,22.656899468088728,-7.956688953074792,82.85272571130872,29.266545519213526,9.859628571428605,2.993,19.07,30.215,20.129,0.39,4069.126,0.816,-0.083,11.124180299001607,14.154
469,Egypt,0,1990,-2.699,22.259981416975002,-6.381187085497258,82.851704393936,27.2617400084385,8.044,2.35,21.165,27.413,21.219,0.459,4281.869,0.804,5.332,12.494105449876935,7.179
469,Egypt,0,1991,3.435,22.423284522493258,-7.029392293104442,82.85212459225707,28.08657265324018,8.791,2.1,33.037,20.141,14.737,0.504,4428.048,0.803,-2.086,11.930480210768328,12.085
469,Egypt,0,1992,8.307,22.458481041888756,-7.169099171852446,82.85221515708933,28.264347828358083,8.952,0.3,31.599,17.298,21.142,0.614,4450.407,0.723,-7.912,11.809002749594985,6.856
469,Egypt,0,1993,4.428,22.886741796520937,-8.869010820717882,82.85331712296752,30.42746315789822,10.911,2.9,20.791,15.439,11.042,0.658,4544.338,0.73,13.409,10.330901218920589,2.443
469,Egypt,0,1994,0.35,22.937459762357946,-9.070327565249164,82.85344762632828,30.683636081049485,11.143,4.188,21.547,15.76,9.046,0.689,4741.258,0.74,0.443,10.155852951888198,3.473
469,Egypt,0,1995,0.611,26.99611919526695,-7.924294454180968,81.17902906065808,30.25822996949605,11.176,4.484,20.622,16.317,9.361,0.753,4943.556,0.746,-44.223,17.05,10.562
469,Egypt,0,1996,-0.259,22.571066181570018,-7.615987634928349,82.85250485204963,28.833007550008496,9.467,4.879,16.638,15.754,7.095,0.793,5171.918,0.754,17.109,11.420425777518771,-0.142
469,Egypt,0,1997,0.149,22.397051091887928,-6.925262942484812,82.85205709051874,27.954069417127464,8.671,5.919,16.512,18.845,6.167,0.825,5451.98,0.767,12.785,12.021022417854054,5.883
469,Egypt,0,1998,-2.779,24.62429637414499,-5.924736853157892,73.824,27.7990265068557,7.955,7.543,17.506,20.285,5.041,0.848,5813.045,0.804,10.499,14.17,1.918
469,Egypt,0,1999,-1.814,28.387,-3.9921507618388077,72.398,26.251,7.692,6.11,17.974,19.788,3.745,0.843,6125.592,0.824,11.246,16.68,4.749
469,Egypt,0,2000,-1.11,27.313,-4.913199214138286,71.687,25.992,8.995,5.383,17.486,18.596,2.849,0.865,6457.169,0.827,-1.799,16.82,8.989
469,Egypt,0,2001,-0.033,26.792,-5.7528204089775965,79.146,27.862,8.808,3.524,17.334,17.366,2.417,0.862,6699.163,0.835,7.962,16.72,2.83
469,Egypt,0,2002,0.68,24.156,-8.739664642130455,85.776,30.924,10.05,3.186,20.589,19.908,2.258,0.869,6882.962,0.839,-7.03,19.89,-1.026
469,Egypt,0,2003,2.281,24.909,-8.624381935660256,97.095,30.638,11.275,3.193,21.601,19.32,3.412,0.91,7093.87,0.836,-5.437,15.04,8.146
469,Egypt,0,2004,4.125,24.356,-7.96363298032346,96.512,30.118,10.526,4.092,23.319,19.194,8.151,0.99,7440.463,0.827,10.121,10.63,27.106
469,Egypt,0,2005,3.092,23.623,-8.652964593374397,98.263,30.31,11.468,4.472,24.297,21.205,8.703,1.019,7858.184,0.826,16.588,8.76,8.436
469,Egypt,0,2006,1.552,27.186,-8.695,85.924,34.54,10.917,6.844,24.655,23.104,4.292,1.061,8475.096,0.84,15.214,10.05,8.019
469,Egypt,0,2007,1.656,26.362,-7.201,76.268,31.261,9.205,7.088,29.166,27.51,10.882,1.164,9144.37,0.855,11.26,8.92,12.407
469,Egypt,0,2008,0.52,26.639,-7.889,66.761,32.689,8.676,7.156,29.008,28.487,11.742,1.281,9775.031,0.891,22.666,8.02,14.786
469,Egypt,0,2009,-2.231,26.331,-7.062,69.45,32.526,9.367,4.674,19.664,21.895,16.161,1.415,10067.393,0.939,-3.055,8.26,-13.378
469,Egypt,0,2010,-1.877,23.911,-8.585,69.59,31.358,9.21,5.147,19.421,21.298,11.658,1.54,10469.188,0.94,-7.105,9.71,-2.207
469,Egypt,0,2011,-2.457,20.948,-9.642,72.83,30.549,10.379,1.765,14.627,17.084,11.056,1.685,10630.601,0.922,-3.197,7.71,-6.804
469,Egypt,0,2012,-3.445,19.72,-9.396,69.862,29.191,12.373,2.226,15.157,18.603,8.692,1.985,10801.247,0.913,3.429,7.47,-8.285
469,Egypt,0,2013,-2.108,20.607,-12.505,79.812,32.886,12.992,3.302,14.446,16.553,6.916,2.092,11066.123,0.913,1.23,8.55,10.736
469,Egypt,0,2014,-0.854,23.169,-11.0,80.874,33.892,13.365,2.93,15.038,15.892,10.093,2.287,11295.056,0.909,3.879,7.43,-12.786
469,Egypt,0,2015,-3.468,20.895,-10.839,83.754,31.265,12.859,4.36,13.15,16.618,10.988,2.495,11602.855,0.918,19.341,7.08,18.821
469,Egypt,0,2016,-5.643,19.172,-11.397,91.586,30.968,12.705,4.34,11.802,17.445,10.212,2.633,11952.822,0.929,5.36,6.63,-6.492
469,Egypt,0,2017,-5.832,20.655,-10.12,97.8,30.553,12.245,4.191,11.313,17.145,23.534,3.169,12117.554,0.933,1.166,7.41,2.267
469,Egypt,0,2018,-2.266,19.656,-9.05,87.949,28.631,10.932,5.327,16.443,18.709,20.851,3.581,13418.954,0.99,-0.204,8.19,18.307
469,Egypt,0,2019,-3.427,19.302,-7.346,80.092,26.898,8.612,5.548,16.627,20.054,13.875,3.893,14532.979,1.031,3.381,10.43,9.685
469,Egypt,0,2020,-2.919,18.227,-6.618,86.222,25.695,8.296,3.573,13.076,15.995,5.7,3.695,16551.424,1.197,-0.307,10.97599429334681,-4.637
469,Egypt,0,2021,-4.355,18.588,-7.181,89.903,25.543,7.292,3.253,10.816,15.172,4.5,3.855,16930.47,1.112,-3.788,11.60855807552077,-10.629
469,Egypt,0,2022,-3.483,18.922,-6.087,88.534,24.701,7.323,6.653,13.536,17.019,8.5,3.971,19064.082,1.146,6.408,12.383068977020343,30.839
469,Egypt,0,2023,-1.196,16.973,-5.713,95.93,22.741,7.185,3.759,11.682,12.878,24.392,4.784,20180.861,1.152,-17.552,12.88631925530198,2.223
469,Egypt,0,2024,-6.559,16.638,-6.61,90.857,26.779,7.23,2.672,4.231,10.79,33.302,6.197,20799.054,1.147,9.736,9.7105790874456,-6.525
111,United States,1,1980,0.081,29.966665047523296,-6.854778349063392,96.84872188360028,37.97981270033554,7.175,-0.257,22.059,23.31,13.502,1.0,12552.943,21.579,-6.664,2.5799122099457366,10.778
111,United States,1,1981,0.157,29.836102468576385,-7.183803289019301,97.82225730632142,38.43744102931244,7.617,2.537,23.206,24.277,10.378,1.0,13948.701,21.683,2.616,2.581302152015433,1.213
111,United States,1,1982,-0.165,29.218441037404457,-8.740344351118395,102.42782872919462,40.602375047164664,9.708,-1.803,21.713,22.071,6.158,1.0,14404.994,21.185,-1.264,2.587877647191306,-7.662
111,United States,1,1983,-1.065,29.25034320601592,-8.659949116921023,102.18995129558853,40.49055636044633,9.6,4.584,19.725,22.253,3.16,1.0,15513.679,21.607,12.609,2.5875380233371716,-2.589
111,United States,1,1984,-2.337,29.86830002763795,-7.102663654505293,97.5821773038857,38.32458698438375,7.508,7.236,21.839,25.096,4.368,1.0,17086.441,22.177,24.344,2.580959383495983,8.15
111,United States,1,1985,-2.723,29.961643409871492,-6.86743315444632,96.88616555370497,37.99741378991158,7.192,4.169,20.308,24.188,3.528,1.0,18199.32,22.3,6.489,2.5799656692561093,3.348
111,United States,1,1986,-3.214,30.018358376291868,-6.724508293650996,96.4632723384053,37.798625013523434,7.0,3.463,18.882,23.741,1.944,1.0,19034.766,22.343,8.534,2.5793618935154266,7.672
111,United States,1,1987,-3.309,30.26205549762943,-6.1103780324210755,94.6461530539144,36.944454489980586,6.175,3.455,19.548,23.62,3.578,1.0,20000.968,22.252,5.937,2.5767675446296807,10.929
111,United States,1,1988,-2.314,30.46380717505192,-5.601952616154379,93.141798543239,36.237304832308155,5.492,4.177,20.564,22.828,4.1,1.0,21375.999,22.205,3.932,2.5746197382188143,16.212
111,United States,1,1989,-1.763,30.39813467492418,-5.628832168881513,94.4627528846451,36.1263436509788,5.258,3.672,19.674,22.514,4.791,1.0,22814.077,22.22,4.407,3.91,11.57
111,United States,1,1990,-1.324,30.291191381472338,-5.897432381337521,95.26584645282905,36.49893378609921,5.617,1.886,18.674,21.529,5.419,1.0,23847.977,21.803,3.573,3.92,8.827
111,United States,1,1991,0.047,29.924328715209683,-6.819296655581826,98.01813091733835,37.77818251915555,6.85,-0.109,18.733,20.111,4.216,1.0,24302.776,21.303,-0.151,3.95,6.614
111,United States,1,1992,-0.792,29.73488609628418,-7.296943161188039,99.42972331408602,38.442727944670054,7.492,3.522,17.607,20.078,3.042,1.0,25392.931,19.794,7.008,3.95,6.923
111,United States,1,1993,-1.237,29.92739135093996,-6.832347558451725,97.87075451885941,37.81856017480637,6.908,2.752,16.97,20.394,2.97,1.0,26364.192,19.969,8.649,3.75,3.271
111,United States,1,1994,-1.669,30.28420978138739,-6.054548008672893,94.4809603916879,36.866802624203956,6.1,4.029,17.782,21.279,2.596,1.0,27674.021,20.195,11.932,2.5765316947309764,8.836
111,United States,1,1995,-1.487,30.397437638874315,-5.731337725129859,93.86385105811023,36.37672597235667,5.592,2.685,18.681,21.273,2.805,1.0,28671.48,20.007,8.0,2.94,10.277
111,United States,1,1996,-1.546,30.459803675473847,-5.582401768580614,93.34932114574964,36.17840069167836,5.408,3.773,19.57,21.702,2.937,1.0,29946.973,20.006,8.698,2.86,8.174
111,United States,1,1997,-1.641,30.62354247557783,-5.196567602537038,91.96733288131095,35.6704790375236,4.942,4.447,20.773,22.41,2.338,1.0,31440.087,20.083,13.465,2.6,11.908
111,United States,1,1998,-2.373,30.704534098125507,-4.941467988587871,91.66900231648684,35.26112204736006,4.5,4.483,21.315,22.958,1.547,1.0,32833.666,20.446,11.69,3.09,2.338
111,United States,1,1999,-2.976,30.86673411198583,-4.613522895053559,89.97463491004525,34.89151308092168,4.217,4.788,20.851,23.419,2.193,1.0,34496.241,20.704,11.595,2.31,4.98
111,United States,1,2000,-3.921,30.96169086115985,-4.395917466753908,89.1363007879837,34.61209159319858,3.967,4.078,20.741,23.678,3.367,1.0,36312.782,20.502,13.0,2.1,8.312
111,United States,1,2001,-3.724,32.257,-1.441,53.146,32.801,4.742,0.956,19.581,22.177,2.817,1.0,37101.453,20.207,-2.462,2.11,-5.58
111,United States,1,2002,-4.173,29.877,-3.598,55.538,33.698,5.783,1.7,18.303,21.723,1.596,1.0,37945.761,20.007,3.669,2.16,-1.954
111,United States,1,2003,-4.559,29.266,-4.48,58.625,34.037,5.992,2.796,17.351,21.746,2.298,1.0,39405.354,19.846,5.123,1.96,2.105
111,United States,1,2004,-5.205,29.476,-4.375,66.105,33.719,5.542,3.848,17.662,22.652,2.668,1.0,41641.617,19.604,10.984,1.79,9.644
111,United States,1,2005,-5.746,30.853,-3.443,65.453,33.928,5.083,3.483,18.052,23.376,3.366,1.0,44034.256,19.396,6.49,1.75,6.945
111,United States,1,2006,-5.911,31.656,-2.873,64.189,33.692,4.608,2.785,19.126,23.538,3.222,1.0,46216.853,18.958,6.419,1.7,9.478
111,United States,1,2007,-5.089,31.649,-3.995,64.585,34.562,4.617,2.004,17.354,22.557,2.871,1.0,47943.353,18.385,2.566,1.55,8.762
111,United States,1,2008,-4.716,30.532,-6.166,73.431,37.144,5.8,0.114,14.975,21.037,3.815,1.0,48470.553,17.909,-2.148,1.58,5.789
111,United States,1,2009,-2.623,28.222,-8.262,86.598,41.399,9.283,-2.576,13.798,17.769,-0.32,1.0,47102.428,17.566,-12.627,1.71,-8.311
111,United States,1,2010,-2.871,28.77,-10.078,95.162,39.763,9.608,2.695,15.288,18.672,1.637,1.0,48586.288,17.165,12.968,1.66,12.647
111,United States,1,2011,-2.919,29.08,-8.52,99.498,38.796,8.933,1.564,16.238,19.034,3.14,1.0,50008.108,16.801,4.816,1.67,7.178
111,United States,1,2012,-2.573,29.109,-6.512,103.065,37.223,8.075,2.289,18.288,19.951,2.073,1.0,51736.738,16.656,2.449,1.67,4.019
111,United States,1,2013,-2.011,31.222,-4.469,104.343,35.782,7.358,2.118,18.475,20.379,1.466,1.0,53363.904,16.469,1.212,1.67,3.01
111,United States,1,2014,-2.102,31.298,-3.696,104.242,35.324,6.158,2.524,19.571,20.901,1.615,1.0,55263.817,16.325,5.16,1.69,3.902
111,United States,1,2015,-2.233,31.501,-3.334,104.661,35.031,5.275,2.946,19.611,21.415,0.121,1.0,57006.926,16.266,5.191,1.69,0.32
111,United States,1,2016,-2.107,30.977,-4.114,106.582,35.333,4.875,1.82,18.472,20.888,1.267,1.0,58179.697,16.056,1.458,1.65,0.474
111,United States,1,2017,-1.874,30.4,-4.652,105.529,35.194,4.358,2.458,18.882,21.156,2.131,1.0,60292.978,15.853,4.71,1.66,4.115
111,United States,1,2018,-2.129,30.014,-5.255,106.847,35.349,3.892,2.967,19.126,21.569,2.439,1.0,63165.278,15.698,4.038,1.59,2.854
111,United States,1,2019,-2.051,30.011,-6.107,108.004,35.811,3.675,2.584,19.329,21.67,1.813,1.0,65561.32,15.448,1.176,13.78,0.533
111,United States,1,2020,-2.815,30.646,-10.599,131.831,44.568,8.092,-2.163,18.232,21.419,1.249,1.0,64461.618,15.349,-8.979,1.52,-13.127
111,United States,1,2021,-3.665,31.576,-10.475,124.524,42.599,5.35,6.055,17.613,21.333,4.682,1.0,71257.958,15.234,14.671,1.47,6.477
111,United States,1,2022,-3.892,32.385,-6.526,118.617,36.308,3.633,2.512,18.315,21.95,7.992,1.0,77979.858,15.097,8.593,1.49,7.513
