WEO_Country_Code,Country,Advanced_Country,BCA_NGDPD,GGR_NGDP,GGSB_NPGDP,GGXWDG_NGDP,GGX_NGDP,LUR,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPIPCH,PPPEX,PPPPC,PPPSH,TM_RPCH,TRWMA,TX_RPCH
111,United States,1,-2.233,31.501,-3.334,104.661,35.031,5.275,2.946,19.611,21.415,0.121,1.0,57006.926,16.266,5.191,1.69,0.32
112,United Kingdom,1,-4.948,35.805,-3.416,87.867,40.427,5.425,2.223,12.876,17.824,0.04,0.677,43453.689,2.515,4.955,2.02,3.771
122,Austria,1,1.725,50.122,0.044,84.894,51.131,6.158,1.015,25.531,23.806,0.81,0.774,51533.26,0.395,3.63,2.02,3.049
124,Belgium,1,1.383,51.306,-2.493,105.23,53.72,8.65,2.041,25.011,23.628,0.623,0.768,48286.997,0.482,1.036,2.02,1.283
128,Denmark,1,7.957,53.523,0.724,39.894,54.418,4.542,2.101,28.5,20.544,0.226,6.955,51577.438,0.26,4.063,2.02,3.232
132,France,1,-0.325,53.708,-2.351,95.453,57.595,10.342,0.986,21.392,21.717,0.086,0.783,43711.461,2.499,5.598,2.02,4.357
134,Germany,1,8.419,45.421,1.169,70.56,44.506,4.367,1.656,27.881,19.462,0.68,0.745,50714.424,3.683,4.869,2.02,4.31
135,San Marino,1,8.139421883008678,22.969,-0.9038251471374639,19.307,26.293,9.183,2.69,20.24024131459993,12.086,0.146,0.76,51068.473,0.001,1.2821355190716686,2.8953453047018187,4.352240412211492
136,Italy,1,1.243,47.785,0.336,134.654,50.273,12.008,0.886,18.524,17.281,0.108,0.695,39677.359,2.127,6.324,2.02,3.986
137,Luxembourg,1,4.737,41.669,2.353,21.115,40.366,6.648,2.269,23.696,18.958,0.059,0.863,111437.514,0.056,5.707,-2.7942014234981087,5.139
138,Netherlands,1,4.879,43.473,-1.632,63.799,45.252,7.887,2.121,27.049,22.17,0.219,0.788,52507.542,0.789,15.946,2.02,8.541
142,Norway,1,8.994,54.191,-6.433,34.334,48.203,4.531,1.857,35.913,26.908,2.171,9.782,61471.597,0.284,1.883,3.52,3.926
144,Sweden,1,2.599,48.719,-0.65,44.036,48.736,7.517,4.41,26.388,23.788,0.703,8.754,49073.646,0.43,5.492,2.02,5.549
146,Switzerland,1,8.876,33.022,0.53,42.158,32.476,3.178,1.572,33.988,25.112,-1.142,1.232,65779.397,0.482,4.832,1.3,3.814
156,Canada,1,-3.495,39.957,0.012,92.029,40.018,6.95,0.65,20.326,23.822,1.125,1.206,46266.588,1.468,0.76,1.65,3.399
158,Japan,1,3.07,33.617,-4.493,228.278,37.295,3.375,1.561,28.235,25.165,0.799,107.629,39368.764,4.445,0.44,2.3,3.211
171,Andorra,1,-0.31042839542479395,34.982,-0.9538092593579761,40.955,33.329,3.875,1.434,22.818749040456776,23.040744542206358,-1.132,0.687,51045.855,0.003,3.0380680963677413,2.989846432959661,2.56994437707689
172,Finland,1,-0.942,54.371,0.135,68.719,56.81,9.575,0.467,20.936,21.878,-0.156,0.88,43670.461,0.212,2.135,2.02,0.244
174,Greece,1,-1.479,48.545,4.141,179.08,51.558,24.9,-0.196,10.586,12.065,-1.094,0.593,27407.789,0.265,8.038,2.02,5.464
176,Iceland,1,5.626,43.078,-0.278,97.323,43.474,4.5,4.437,25.03,19.404,1.631,137.66,51967.281,0.015,13.542,1.42,8.948
178,Ireland,1,6.133,26.072,-1.657,73.997,28.043,9.942,24.616,32.191,26.059,-0.05,0.803,71974.851,0.302,34.282,2.02,41.023
181,Malta,1,2.639,36.832,-1.661,55.013,37.672,5.392,9.621,26.094,23.455,1.168,0.578,40238.545,0.016,32.043,2.02,24.04
182,Portugal,1,0.23,43.799,0.111,131.179,48.145,12.862,1.792,15.845,15.855,0.508,0.573,30283.477,0.279,8.088,2.02,6.341
184,Spain,1,2.046,38.418,-2.095,102.442,43.683,22.058,4.062,21.42,19.373,-0.629,0.638,36726.485,1.515,5.093,2.02,4.348
186,Türkiye,0,-2.463,31.957,-1.202,27.163,32.469,10.3,6.084,25.218,28.199,7.671,1.185,25193.996,1.764,0.662,3.19,3.239
193,Australia,1,-4.619,34.461,-3.106,37.709,37.246,6.058,2.353,21.654,25.883,1.485,1.453,47068.446,1.004,2.062,1.9,6.189
196,New Zealand,1,-2.802,37.589,-0.362,34.192,37.223,5.425,3.635,20.299,23.041,0.293,1.388,39312.897,0.161,4.616,1.32,8.093
199,South Africa,0,-4.339,25.79,-4.164,45.195,30.164,25.35,1.322,14.294,18.633,4.588,5.842,13582.862,0.673,5.045,4.38,3.06
213,Argentina,0,-2.743,35.366,-6.442,52.563,41.366,6.533,2.731,14.328,17.071,4.56302871485372,5.948,23210.096,0.89,2.717,7.35,-1.677
218,Bolivia,0,-5.825,37.65,-1.8390159026674762,40.905,44.585,4.557,4.857,14.216,20.281,4.061,2.637,7985.561,0.077,4.556,4.75,-22.931
223,Brazil,0,-3.523,36.91,-8.763,71.73,46.191,8.625,-3.546,13.889,17.412,9.03,2.026,14621.149,2.631,-12.793,8.27,8.887
228,Chile,0,-2.734,22.939,0.478,17.375,25.028,6.328,2.152,22.778,25.599,4.349,372.833,23673.888,0.378,-1.182,0.64,-2.624
233,Colombia,0,-6.372,27.757,-3.87,50.419,31.277,9.2,2.956,17.401,23.774,4.991,1234.455,14074.832,0.58,-1.081,6.54,1.657
238,Costa Rica,0,-3.404,13.237,-5.479,39.786,18.759,9.604,3.652,15.45,18.854,0.802,334.113,18615.889,0.08,4.498,7.321639821165053,2.888
243,Dominican Republic,0,-1.797,16.648,-4.485,44.687,16.681,7.328,6.927,21.645,23.442,0.837,20.227,15879.616,0.141,19.187,6.04,9.282
248,Ecuador,0,-2.285,37.222,-6.379,36.438,44.088,4.77,0.12,20.402,22.686,3.966,0.532,11234.025,0.162,-4.79,6.38,2.867
253,El Salvador,0,-3.216,23.475,-3.611,73.464,27.108,7.145,2.395,12.801,16.017,-0.731,0.453,8297.452,0.046,13.265,1.79,3.893
